fdate,prc
2017-01-01,12522.8
2017-01-02,11903.666666666666
2017-01-03,9628.5
2017-01-04,7239.666666666667
2017-01-05,10740.5
2017-01-06,24386.0
2017-01-07,6804.0
2017-01-08,12935.666666666666
2017-01-09,9218.0
2017-01-10,13300.166666666666
2017-01-11,10932.8
2017-01-12,19159.428571428572
2017-01-13,9259.555555555555
2017-01-14,8417.75
2017-01-15,8520.9
2017-01-16,11683.8
2017-01-17,6151.75
2017-01-18,10863.416666666666
2017-01-19,10613.142857142857
2017-01-20,7843.666666666667
2017-01-21,8116.714285714285
2017-01-22,15131.461538461539
2017-01-23,10067.444444444445
2017-01-24,9881.0
2017-01-25,9755.0
2017-01-26,10701.0
2017-01-27,16787.1
2017-01-28,12029.454545454546
2017-01-29,15425.0
2017-01-30,15448.0
2017-01-31,10104.09090909091
2017-02-01,8359.555555555555
2017-02-02,6199.333333333333
2017-02-03,3153.8
2017-02-04,2973.3333333333335
2017-02-05,5937.25
2017-02-06,5813.8
2017-02-07,3109.0
2017-02-08,5505.0
2017-02-09,3337.0
2017-02-10,6834.5
2017-02-11,12787.0
2017-02-12,3179.5
2017-02-13,10386.0
2017-02-14,3480.5
2017-02-15,3500.5
2017-02-16,3912.5
2017-02-17,2727.5714285714284
2017-02-18,11152.625
2017-02-19,4536.285714285715
2017-02-20,7374.333333333333
2017-02-21,4103.666666666667
2017-02-23,13093.0
2017-02-24,3482.0
2017-02-25,15921.25
2017-02-26,5714.714285714285
2017-02-27,11715.0
2017-02-28,3746.6666666666665
2017-03-01,7293.5
2017-03-02,6417.428571428572
2017-03-03,6051.571428571428
2017-03-04,10919.0
2017-03-05,8317.333333333334
2017-03-06,8907.333333333334
2017-03-07,3711.3333333333335
2017-03-08,3222.0
2017-03-09,5148.0
2017-03-10,12848.4
2017-03-11,3722.0
2017-03-12,6196.6
2017-03-13,5418.5
2017-03-14,5016.0
2017-03-15,7209.111111111111
2017-03-16,3438.6666666666665
2017-03-17,23617.666666666668
2017-03-18,17882.5
2017-03-19,4889.090909090909
2017-03-20,3988.5555555555557
2017-03-21,11639.666666666666
2017-03-22,8126.5
2017-03-23,4569.0
2017-03-24,12277.0
2017-03-25,5352.428571428572
2017-03-26,6895.875
2017-03-27,3982.8888888888887
2017-03-28,6528.75
2017-03-29,7904.5
2017-03-30,7260.222222222223
2017-03-31,5887.833333333333
2017-04-01,10333.857142857143
2017-04-02,6623.6
2017-04-03,5595.0
2017-04-04,3855.5
2017-04-06,5066.666666666667
2017-04-07,11729.666666666666
2017-04-08,7190.5
2017-04-09,9545.5
2017-04-10,5678.666666666667
2017-04-11,9982.5
2017-04-12,6475.333333333333
2017-04-13,10575.25
2017-04-14,12202.75
2017-04-15,11742.833333333334
2017-04-16,11689.0
2017-04-17,3185.75
2017-04-18,6674.5
2017-04-19,4417.333333333333
2017-04-20,3549.25
2017-04-21,4902.666666666667
2017-04-22,19669.0
2017-04-23,6518.166666666667
2017-04-24,6172.2
2017-04-25,4677.5
2017-04-26,3917.0
2017-04-27,20352.333333333332
2017-04-28,10329.666666666666
2017-04-29,9667.076923076924
2017-04-30,7391.9
2017-05-01,6155.555555555556
2017-05-02,10204.2
2017-05-03,10512.0
2017-05-04,8988.0
2017-05-06,5090.5
2017-05-07,6500.428571428572
2017-05-08,11038.833333333334
2017-05-09,6462.333333333333
2017-05-10,8561.666666666666
2017-05-11,10501.25
2017-05-12,6155.6
2017-05-13,5855.0
2017-05-14,8567.2
2017-05-15,5619.0
2017-05-17,15892.333333333334
2017-05-18,18833.75
2017-05-19,4929.5
2017-05-20,6959.0
2017-05-21,16275.166666666666
2017-05-22,9496.8
2017-05-23,3841.25
2017-05-24,4532.0
2017-05-25,4724.75
2017-05-26,8101.0
2017-05-27,23599.0
2017-05-28,10010.142857142857
2017-05-29,20129.0
2017-05-30,6281.0
2017-05-31,4782.166666666667
2017-06-01,4418.666666666667
2017-06-02,4086.0
2017-06-03,8599.636363636364
2017-06-04,4462.5
2017-06-05,16261.6
2017-06-06,5620.166666666667
2017-06-07,5295.5
2017-06-08,5021.75
2017-06-09,4248.5
2017-06-10,11267.5
2017-06-11,7309.6
2017-06-12,6516.333333333333
2017-06-13,11586.142857142857
2017-06-14,8675.25
2017-06-15,9824.875
2017-06-16,3782.125
2017-06-17,15357.5
2017-06-18,4852.2
2017-06-19,4450.5
2017-06-20,4126.5
2017-06-21,6209.8
2017-06-22,9538.692307692309
2017-06-23,10242.333333333334
2017-06-24,5654.058823529412
2017-06-25,10657.5
2017-06-26,12898.272727272728
2017-06-27,11426.375
2017-06-28,9086.375
2017-06-29,9927.57142857143
2017-06-30,7167.1
2017-07-01,9184.0
2017-07-02,19512.333333333332
2017-07-03,13535.666666666666
2017-07-04,9065.0
2017-07-05,9097.583333333334
2017-07-06,13917.57142857143
2017-07-07,7821.0
2017-07-08,33118.09090909091
2017-07-09,21129.777777777777
2017-07-10,15980.5
2017-07-11,5714.75
2017-07-12,6967.3
2017-07-13,11141.714285714286
2017-07-14,10272.8
2017-07-15,7457.0
2017-07-16,6509.0
2017-07-17,7925.666666666667
2017-07-18,8553.454545454546
2017-07-19,9696.875
2017-07-20,20120.8
2017-07-21,14401.4
2017-07-22,14923.216216216217
2017-07-23,8966.0
2017-07-24,10173.7
2017-07-25,12142.125
2017-07-26,13112.42857142857
2017-07-27,13108.0
2017-07-28,9272.333333333334
2017-07-29,9982.714285714286
2017-07-30,8223.0
2017-07-31,17493.428571428572
2017-08-01,10366.222222222223
2017-08-02,14778.066666666668
2017-08-03,25938.6
2017-08-04,8360.0
2017-08-05,7504.222222222223
2017-08-06,15491.111111111111
2017-08-07,9388.636363636364
2017-08-08,7313.6
2017-08-09,12102.5
2017-08-10,7545.0
2017-08-11,8653.0
2017-08-12,17240.0
2017-08-13,14495.875
2017-08-14,11804.307692307691
2017-08-15,17310.0
2017-08-16,10273.4
2017-08-17,7138.714285714285
2017-08-18,12116.857142857143
2017-08-19,14991.8
2017-08-20,11064.5625
2017-08-21,11737.75
2017-08-22,6043.4
2017-08-23,3941.5
2017-08-24,7219.125
2017-08-25,9884.454545454546
2017-08-26,7071.444444444444
2017-08-27,7224.0
2017-08-28,4302.25
2017-08-29,3347.0
2017-08-30,4191.555555555556
2017-08-31,8577.333333333334
2017-09-01,11797.0
2017-09-02,4948.8
2017-09-03,5950.5
2017-09-04,8790.666666666666
2017-09-05,4171.666666666667
2017-09-06,2487.0
2017-09-07,17501.0
2017-09-08,3785.6666666666665
2017-09-09,15774.5
2017-09-10,10422.5
2017-09-11,5878.0
2017-09-12,8708.25
2017-09-13,5925.0
2017-09-14,3917.2
2017-09-16,6679.0
2017-09-17,13360.0
2017-09-18,5275.0
2017-09-19,5801.7
2017-09-20,9572.888888888889
2017-09-21,7837.25
2017-09-22,9309.142857142857
2017-09-23,12859.111111111111
2017-09-24,8674.5
2017-09-25,11028.666666666666
