fdate,prc
2016-11-27,5376.333333333333
2016-11-28,6875.333333333333
2016-11-29,14961.0
2016-11-30,7202.8
2016-12-01,8668.5
2016-12-02,11968.8
2016-12-03,9258.4
2016-12-04,8899.333333333334
2016-12-05,4765.25
2016-12-06,12499.0
2016-12-07,6672.0
2016-12-08,2721.0
2016-12-09,3127.25
2016-12-10,6688.25
2016-12-11,10481.857142857143
2016-12-12,6793.0
2016-12-14,9062.6
2016-12-15,12309.0
2016-12-16,5917.5
2016-12-17,10085.333333333334
2016-12-18,6377.692307692308
2016-12-19,3999.0
2016-12-20,1889.0
2016-12-21,7413.166666666667
2016-12-22,8129.375
2016-12-23,9027.75
2016-12-24,4048.25
2016-12-25,8775.666666666666
2016-12-26,3959.6666666666665
2016-12-27,3526.0
2016-12-28,8102.285714285715
2016-12-29,2016.5
2016-12-30,4731.0
2016-12-31,4213.5
