fdate,prc
2016-01-01,9039.0
2016-01-02,22439.0
2016-01-03,9454.0
2016-01-04,13513.0
2016-01-05,21843.0
2016-01-06,17957.333333333332
2016-01-08,5147.333333333333
2016-01-09,5828.0
2016-01-10,8783.25
2016-01-11,7104.5
2016-01-13,5820.875
2016-01-14,9761.333333333334
2016-01-15,7948.0
2016-01-17,8020.0
2016-01-18,6079.0
2016-01-19,16629.0
2016-01-20,6542.0
2016-01-21,5768.5
2016-01-22,4191.0
2016-01-24,11106.0
2016-01-25,4015.0
2016-01-26,5872.333333333333
2016-01-27,4941.0
2016-01-28,7878.333333333333
2016-01-29,13678.5
2016-01-30,7432.0
2016-01-31,5209.2
2016-02-01,9921.0
2016-02-02,6668.0
2016-02-03,7955.5
2016-02-04,7775.428571428572
2016-02-05,7541.0
2016-02-06,7811.666666666667
2016-02-07,5904.5
2016-02-08,12226.666666666666
2016-02-09,11606.333333333334
2016-02-10,18241.666666666668
2016-02-11,17448.0
2016-02-12,4425.0
2016-02-13,4652.25
2016-02-14,4146.0
2016-02-15,3497.0
2016-02-16,17249.0
2016-02-21,4242.0
2016-02-25,3821.0
2016-02-27,12240.0
2016-02-29,4438.0
2016-03-01,3449.0
2016-03-03,3513.5
2016-03-25,4525.0
2016-04-01,4068.0
2016-04-20,4872.0
2016-04-28,26563.0
2016-06-02,9484.25
2016-06-04,7091.0
2016-06-05,10911.5
2016-06-06,7949.5
2016-06-07,10069.5
2016-06-08,12681.0
2016-06-09,6589.0
2016-06-10,4610.0
2016-06-11,7743.0
2016-06-12,10811.5
2016-06-14,6272.0
2016-06-15,5497.6
2016-06-16,6752.333333333333
2016-06-17,3208.5
2016-06-18,9051.0
2016-06-19,5168.5
2016-06-20,4253.0
2016-06-21,9958.8
2016-06-22,5544.25
2016-06-23,11166.8
2016-06-25,10803.285714285714
2016-06-27,10001.0
2016-06-28,11532.333333333334
2016-06-29,33432.0
2016-06-30,17436.5
2016-07-01,7975.0
2016-07-02,14758.0
2016-07-03,11214.666666666666
2016-07-04,9716.285714285714
2016-07-05,18027.333333333332
2016-07-06,10830.0
2016-07-07,9318.666666666666
2016-07-08,9001.0
2016-07-09,12991.4
2016-07-10,9980.0
2016-07-11,12516.75
2016-07-12,12797.25
2016-07-13,13665.8
2016-07-14,12430.25
2016-07-15,10097.0
2016-07-16,11603.666666666666
2016-07-17,14413.1
2016-07-18,15101.5
2016-07-19,9086.4
