fdate,airline,class,subclass,prc
2017-06-01,AA,C,D,14982.0
2017-06-01,AA,C,I,16958.0
2017-06-01,AA,Y,L,3569.5
2017-06-01,AA,Y,N,3755.5
2017-06-01,AA,Y,O,3876.0
2017-06-01,AA,Y,S,5113.0
2017-06-01,AA,Y,V,4962.0
2017-06-01,DL,C,Z,16114.0
2017-06-01,DL,Y,V,4096.0
2017-06-01,DL,Y,X,4361.5
2017-06-01,MU,C,D,20970.0
2017-06-01,MU,Y,Q,3660.0
2017-06-01,MU,Y,S,4485.0
2017-06-01,MU,Y,T,3856.0
2017-06-01,MU,Y,V,4534.0
2017-06-01,UA,C,P,18411.5
2017-06-01,UA,Y,G,4865.0
2017-06-01,UA,Y,K,4919.0
2017-06-01,UA,Y,S,4124.0
2017-06-02,AA,C,I,13025.5
2017-06-02,AA,Y,K,4830.0
2017-06-02,AA,Y,L,3599.0
2017-06-02,AA,Y,O,3876.0
2017-06-02,AA,Y,Q,6048.0
2017-06-02,AA,Y,S,8354.0
2017-06-02,DL,C,Z,19192.0
2017-06-02,DL,Y,V,4094.0
2017-06-02,DL,Y,X,4741.0
2017-06-02,MU,C,D,20807.0
2017-06-02,MU,Y,S,4501.0
2017-06-02,MU,Y,T,6837.0
2017-06-02,MU,Y,V,6009.0
2017-06-02,UA,C,P,28553.0
2017-06-02,UA,Y,G,4350.0
2017-06-02,UA,Y,K,5065.5
2017-06-03,AA,C,D,12497.0
2017-06-03,AA,C,I,6782.0
2017-06-03,AA,Y,L,5645.0
2017-06-03,AA,Y,O,3960.0
2017-06-03,AA,Y,Q,7081.0
2017-06-03,AA,Y,S,9427.0
2017-06-03,DL,C,Z,16954.5
2017-06-03,DL,Y,T,6572.5
2017-06-03,DL,Y,U,5400.0
2017-06-03,DL,Y,V,4051.5
2017-06-03,DL,Y,X,4491.0
2017-06-03,MU,C,D,21081.0
2017-06-03,MU,C,I,19100.5
2017-06-03,MU,Y,R,5803.0
2017-06-03,MU,Y,S,4799.5
2017-06-03,MU,Y,T,5493.0
2017-06-03,MU,Y,V,5089.5
2017-06-03,UA,C,P,19331.0
2017-06-03,UA,Y,G,5208.0
2017-06-03,UA,Y,K,4739.0
2017-06-04,AA,C,I,20015.0
2017-06-04,AA,Y,O,3552.0
2017-06-04,AA,Y,Q,9094.0
2017-06-04,AA,Y,S,3490.0
2017-06-04,DL,C,Z,16833.0
2017-06-04,DL,Y,L,5249.0
2017-06-04,DL,Y,T,9146.0
2017-06-04,DL,Y,V,4057.0
2017-06-04,DL,Y,X,5488.0
2017-06-04,MU,C,D,21079.0
2017-06-04,MU,C,I,20916.0
2017-06-04,MU,Y,Q,3450.0
2017-06-04,MU,Y,R,3455.0
2017-06-04,MU,Y,S,5483.0
2017-06-04,MU,Y,T,4956.0
2017-06-04,MU,Y,V,5079.0
2017-06-04,UA,C,P,17977.0
2017-06-04,UA,Y,G,3757.5
2017-06-04,UA,Y,K,5307.0
2017-06-04,UA,Y,L,3193.0
2017-06-05,AA,C,D,7219.0
2017-06-05,AA,C,I,17591.5
2017-06-05,AA,Y,K,4698.0
2017-06-05,AA,Y,L,3570.0
2017-06-05,AA,Y,O,3742.5
2017-06-05,DL,C,Z,16909.5
2017-06-05,DL,Y,V,3871.0
2017-06-05,DL,Y,X,4391.5
2017-06-05,MU,C,D,16633.0
2017-06-05,MU,Y,N,6679.0
2017-06-05,MU,Y,Q,3888.0
2017-06-05,MU,Y,S,4236.0
2017-06-05,MU,Y,T,5999.0
2017-06-05,MU,Y,V,4361.5
