search_date,flt_date,search_time
2017-11-01,2018-04-24,6
2017-11-01,2018-04-25,10
2017-11-01,2018-04-26,6
2017-11-01,2018-04-27,10
2017-11-01,2018-04-28,13
2017-11-01,2018-04-29,9
2017-11-01,2018-04-30,3
2017-11-02,2017-11-02,180
2017-11-02,2017-11-03,601
2017-11-02,2017-11-04,223
2017-11-02,2017-11-05,203
2017-11-02,2017-11-06,179
2017-11-02,2017-11-07,487
2017-11-02,2017-11-08,144
2017-11-02,2017-11-09,138
2017-11-02,2017-11-10,164
2017-11-02,2017-11-11,130
2017-11-02,2017-11-12,121
2017-11-02,2017-11-13,124
2017-11-02,2017-11-14,211
2017-11-02,2017-11-15,198
2017-11-02,2017-11-16,200
2017-11-02,2017-11-17,265
2017-11-02,2017-11-18,163
2017-11-02,2017-11-19,113
2017-11-02,2017-11-20,295
2017-11-02,2017-11-21,116
2017-11-02,2017-11-22,141
2017-11-02,2017-11-23,70
2017-11-02,2017-11-24,102
2017-11-02,2017-11-25,89
2017-11-02,2017-11-26,62
2017-11-02,2017-11-27,101
2017-11-02,2017-11-28,42
2017-11-02,2017-11-29,82
2017-11-02,2017-11-30,164
2017-11-02,2017-12-01,184
2017-11-02,2017-12-02,127
2017-11-02,2017-12-03,130
2017-11-02,2017-12-04,81
2017-11-02,2017-12-05,71
2017-11-02,2017-12-06,53
2017-11-02,2017-12-07,72
2017-11-02,2017-12-08,75
2017-11-02,2017-12-09,76
2017-11-02,2017-12-10,67
2017-11-02,2017-12-11,54
2017-11-02,2017-12-12,44
2017-11-02,2017-12-13,42
2017-11-02,2017-12-14,58
2017-11-02,2017-12-15,110
2017-11-02,2017-12-16,97
2017-11-02,2017-12-17,93
2017-11-02,2017-12-18,87
2017-11-02,2017-12-19,57
2017-11-02,2017-12-20,99
2017-11-02,2017-12-21,82
2017-11-02,2017-12-22,149
2017-11-02,2017-12-23,83
2017-11-02,2017-12-24,49
2017-11-02,2017-12-25,60
2017-11-02,2017-12-26,41
2017-11-02,2017-12-27,48
2017-11-02,2017-12-28,51
2017-11-02,2017-12-29,76
2017-11-02,2017-12-30,132
2017-11-02,2017-12-31,51
2017-11-02,2018-01-01,46
2017-11-02,2018-01-02,31
2017-11-02,2018-01-03,31
2017-11-02,2018-01-04,27
2017-11-02,2018-01-05,71
2017-11-02,2018-01-06,79
2017-11-02,2018-01-07,97
2017-11-02,2018-01-08,57
2017-11-02,2018-01-09,42
2017-11-02,2018-01-10,26
2017-11-02,2018-01-11,38
2017-11-02,2018-01-12,25
2017-11-02,2018-01-13,38
2017-11-02,2018-01-14,21
2017-11-02,2018-01-15,30
2017-11-02,2018-01-16,27
2017-11-02,2018-01-17,35
2017-11-02,2018-01-18,59
2017-11-02,2018-01-19,40
2017-11-02,2018-01-20,35
2017-11-02,2018-01-21,36
2017-11-02,2018-01-22,41
2017-11-02,2018-01-23,27
2017-11-02,2018-01-24,27
2017-11-02,2018-01-25,42
2017-11-02,2018-01-26,56
2017-11-02,2018-01-27,57
2017-11-02,2018-01-28,32
2017-11-02,2018-01-29,81
2017-11-02,2018-01-30,35
2017-11-02,2018-01-31,28
2017-11-02,2018-02-01,57
2017-11-02,2018-02-02,54
2017-11-02,2018-02-03,141
2017-11-02,2018-02-04,72
2017-11-02,2018-02-05,66
2017-11-02,2018-02-06,100
2017-11-02,2018-02-07,85
2017-11-02,2018-02-08,100
2017-11-02,2018-02-09,92
2017-11-02,2018-02-10,139
2017-11-02,2018-02-11,45
2017-11-02,2018-02-12,56
2017-11-02,2018-02-13,115
2017-11-02,2018-02-14,116
2017-11-02,2018-02-15,116
2017-11-02,2018-02-16,61
2017-11-02,2018-02-17,77
2017-11-02,2018-02-18,49
2017-11-02,2018-02-19,53
2017-11-02,2018-02-20,12
2017-11-02,2018-02-21,29
2017-11-02,2018-02-22,10
2017-11-02,2018-02-23,12
2017-11-02,2018-02-24,23
2017-11-02,2018-02-25,13
2017-11-02,2018-02-26,7
2017-11-02,2018-02-27,3
2017-11-02,2018-02-28,8
2017-11-02,2018-03-01,25
2017-11-02,2018-03-02,11
2017-11-02,2018-03-03,17
2017-11-02,2018-03-04,3
2017-11-02,2018-03-05,14
2017-11-02,2018-03-06,12
2017-11-02,2018-03-07,14
2017-11-02,2018-03-08,20
2017-11-02,2018-03-09,20
2017-11-02,2018-03-10,18
2017-11-02,2018-03-11,12
2017-11-02,2018-03-12,25
2017-11-02,2018-03-13,14
2017-11-02,2018-03-14,17
2017-11-02,2018-03-15,22
2017-11-02,2018-03-16,20
2017-11-02,2018-03-17,16
2017-11-02,2018-03-18,29
2017-11-02,2018-03-19,21
2017-11-02,2018-03-20,16
2017-11-02,2018-03-21,17
2017-11-02,2018-03-22,11
2017-11-02,2018-03-23,12
2017-11-02,2018-03-24,13
2017-11-02,2018-03-25,14
2017-11-02,2018-03-26,12
2017-11-02,2018-03-27,10
2017-11-02,2018-03-28,11
2017-11-02,2018-03-29,12
2017-11-02,2018-03-30,18
2017-11-02,2018-03-31,22
2017-11-02,2018-04-01,17
2017-11-02,2018-04-02,14
2017-11-02,2018-04-03,12
2017-11-02,2018-04-04,11
2017-11-02,2018-04-05,12
2017-11-02,2018-04-06,10
2017-11-02,2018-04-07,9
2017-11-02,2018-04-08,11
2017-11-02,2018-04-09,7
2017-11-02,2018-04-10,18
2017-11-02,2018-04-11,14
2017-11-02,2018-04-12,30
2017-11-02,2018-04-13,18
2017-11-02,2018-04-14,10
2017-11-02,2018-04-15,12
2017-11-02,2018-04-16,11
2017-11-02,2018-04-17,10
2017-11-02,2018-04-18,15
2017-11-02,2018-04-19,17
2017-11-02,2018-04-20,16
2017-11-02,2018-04-21,17
2017-11-02,2018-04-22,11
2017-11-02,2018-04-23,12
2017-11-02,2018-04-24,14
2017-11-02,2018-04-25,21
2017-11-02,2018-04-26,18
2017-11-02,2018-04-27,36
2017-11-02,2018-04-28,27
2017-11-02,2018-04-29,16
2017-11-02,2018-04-30,16
2017-11-02,2018-05-01,8
2017-11-03,2017-11-03,130
2017-11-03,2017-11-04,575
2017-11-03,2017-11-05,200
2017-11-03,2017-11-06,153
2017-11-03,2017-11-07,458
2017-11-03,2017-11-08,117
2017-11-03,2017-11-09,82
2017-11-03,2017-11-10,169
2017-11-03,2017-11-11,174
2017-11-03,2017-11-12,148
2017-11-03,2017-11-13,124
2017-11-03,2017-11-14,145
2017-11-03,2017-11-15,191
2017-11-03,2017-11-16,127
2017-11-03,2017-11-17,132
2017-11-03,2017-11-18,94
2017-11-03,2017-11-19,110
2017-11-03,2017-11-20,180
2017-11-03,2017-11-21,98
2017-11-03,2017-11-22,95
2017-11-03,2017-11-23,85
2017-11-03,2017-11-24,125
2017-11-03,2017-11-25,101
2017-11-03,2017-11-26,53
2017-11-03,2017-11-27,117
2017-11-03,2017-11-28,59
2017-11-03,2017-11-29,57
2017-11-03,2017-11-30,110
2017-11-03,2017-12-01,164
2017-11-03,2017-12-02,86
2017-11-03,2017-12-03,135
2017-11-03,2017-12-04,65
2017-11-03,2017-12-05,66
2017-11-03,2017-12-06,44
2017-11-03,2017-12-07,52
2017-11-03,2017-12-08,84
2017-11-03,2017-12-09,64
2017-11-03,2017-12-10,53
2017-11-03,2017-12-11,41
2017-11-03,2017-12-12,35
2017-11-03,2017-12-13,58
2017-11-03,2017-12-14,46
2017-11-03,2017-12-15,82
2017-11-03,2017-12-16,126
2017-11-03,2017-12-17,98
2017-11-03,2017-12-18,66
2017-11-03,2017-12-19,47
2017-11-03,2017-12-20,99
2017-11-03,2017-12-21,73
2017-11-03,2017-12-22,93
2017-11-03,2017-12-23,92
2017-11-03,2017-12-24,26
2017-11-03,2017-12-25,35
2017-11-03,2017-12-26,39
2017-11-03,2017-12-27,58
2017-11-03,2017-12-28,34
2017-11-03,2017-12-29,85
2017-11-03,2017-12-30,99
