search_date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
2017-02-01,15,41,9,8,11,8,10,15,12,6,1,4,3,1,19,5,6,2,4,4,4,3,4,3,2,10,8,7,16,7,6,1,2,1,3,10,2,6,1,1,2,5,7,1,0,2,3,7,2,2,3,0,1,1,0,1,3,2,4,4,3,0,0,2,5,0,0,1,1,1,0,0,0,5,0,0,1,0,5,0,1,1,2,2,0,4,7,3,0,1,2,0,1,0,0,2,1,2,1,0,0,0,0,1,1,1,3,1,0,1,0,0,0,1,3,0,3,0,2,0,4,0,0,0,5,2,1,4,1,1,2,1,1,0,0,0,2,0,2,0,0,2,0,0,0,1,4,1,3,3,4,0,1,1,1,0,0,0,0,2,0,6,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1
2017-02-02,9,56,9,15,14,8,4,12,6,5,2,0,4,13,3,2,5,5,9,2,6,7,3,2,4,0,10,8,9,4,6,4,1,0,9,1,2,0,2,2,0,8,6,2,0,0,8,3,3,7,1,1,0,0,1,2,3,6,8,6,3,1,9,10,6,3,4,7,6,2,0,0,0,0,1,0,2,2,4,0,0,1,0,2,2,7,5,4,4,0,0,3,0,0,2,2,0,2,5,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,6,0,2,2,0,0,5,0,2,1,0,4,8,6,5,2,5,2,1,5,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
2017-02-03,4,45,2,3,9,11,9,6,6,4,5,5,12,6,8,3,3,2,6,2,9,6,7,5,7,4,13,5,2,3,7,3,1,5,1,1,2,3,6,6,4,6,4,0,1,1,1,2,3,5,0,0,0,1,5,3,14,11,3,5,3,7,6,2,1,2,1,2,3,1,2,1,0,1,2,2,1,0,1,0,4,4,7,12,4,0,0,0,1,1,0,1,0,1,3,2,2,3,0,0,0,2,0,5,1,0,3,3,4,1,3,1,3,2,1,0,3,3,5,5,5,1,0,3,0,2,0,0,0,0,0,0,6,0,0,0,1,4,0,2,2,1,1,1,2,0,4,6,2,1,1,0,4,2,0,4,1,2,0,0,1,0,3,0,1,2,0,2,1,5,1,2,0,2,1,1,1,0,0,0,0
2017-02-04,16,39,7,15,15,14,10,9,7,7,6,7,1,3,26,12,11,12,6,11,12,12,3,7,16,8,6,17,6,2,4,3,4,4,1,0,2,0,0,5,2,6,1,1,4,3,2,2,2,5,0,1,2,1,3,6,11,3,2,0,3,4,0,1,0,7,2,1,0,1,1,0,1,0,5,5,2,4,1,4,6,3,1,2,3,4,1,0,2,2,0,2,3,2,4,5,1,1,0,0,1,0,7,0,0,1,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,1,2,2,1,5,2,3,0,0,0,1,0,0,3,1,2,0,3,1,1,2,1,3,2,4,4,1,0,1,0,0,0,1,0,1,0,0,1,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,2
2017-02-05,13,38,17,11,7,6,1,4,7,9,1,3,6,1,0,3,7,12,6,3,6,1,1,4,19,14,6,3,8,3,4,9,3,0,3,0,8,8,4,2,7,4,2,3,2,2,4,7,6,4,3,4,3,2,4,6,2,1,1,4,1,4,2,0,4,0,4,0,1,1,2,2,0,0,2,0,0,0,0,2,5,7,6,1,1,1,0,0,0,4,5,2,2,0,5,0,4,0,0,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,3,5,2,2,0,5,6,0,0,2,0,0,0,1,4,0,0,1,0,1,0,0,16,0,1,0,0,1,0,5,7,0,2,4,0,0,1,1,1,2,0,1,0,0,1,0,2,0,0,14,0,0,1,2,0,1,0,0,0,0,0,5,0,0,0
2017-02-06,15,41,16,8,6,3,5,1,9,11,3,3,7,4,2,4,2,16,7,1,4,18,18,13,16,7,2,4,4,1,4,2,9,5,1,1,5,9,7,3,5,12,7,1,1,2,1,1,2,1,3,1,7,3,5,1,2,3,4,3,0,0,0,2,3,3,1,0,1,0,0,0,1,5,3,2,1,0,4,3,0,4,5,2,0,2,2,2,2,4,0,0,0,2,0,1,2,2,1,0,0,1,1,0,0,0,0,1,9,4,1,0,0,0,0,5,1,0,1,1,3,5,4,4,12,3,4,1,3,4,1,0,0,0,0,2,2,3,2,1,0,4,8,1,4,9,1,2,0,1,1,0,2,0,0,0,2,2,3,1,2,1,2,2,1,0,2,1,0,1,6,0,2,3,3,0,5,0,0,0,0
2017-02-07,14,51,9,5,4,9,12,18,9,11,3,5,4,5,7,13,1,5,4,11,16,30,17,10,3,4,11,5,5,7,5,11,1,2,6,5,10,1,1,4,1,2,2,5,13,1,0,1,1,3,3,3,2,6,3,0,0,6,2,2,7,11,8,4,0,4,2,0,10,0,0,0,6,3,1,1,6,5,5,5,9,3,3,1,2,9,1,4,0,4,1,2,3,0,0,0,0,0,7,1,1,0,0,0,0,3,0,2,1,0,0,0,0,4,4,1,3,1,0,0,0,0,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,1,5,1,0,0,1,9,3,0,1,0,0,0,1,1,2,5,3,2,0,2,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
2017-02-08,24,41,13,7,12,8,12,18,17,4,2,7,6,12,13,8,4,3,10,10,3,24,8,3,3,2,7,4,6,5,7,7,9,8,6,11,8,4,6,1,9,3,4,2,3,5,0,1,0,1,3,8,7,3,2,6,6,1,2,1,1,5,1,6,5,2,2,1,3,7,2,4,4,4,4,9,6,5,4,7,2,4,8,4,6,5,4,4,0,8,0,3,3,2,1,0,0,0,1,3,15,4,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,3,2,6,6,7,11,6,16,2,0,0,1,0,1,2,0,0,0,5,1,1,1,2,0,2,2,2,0,2,2,2,1,3,0,0,0,0,0,0,0,1,0,0,2,6,2,0,1,1,0,0,3,0,1,1,2,0,1,4,1,1,1,0,0
2017-02-09,9,42,5,12,4,4,17,13,2,13,16,6,2,8,10,11,5,2,8,23,19,7,7,7,10,6,8,4,2,9,3,4,0,1,7,1,3,0,0,5,0,7,4,1,2,1,0,1,3,6,2,6,3,2,1,1,1,5,10,7,4,3,2,2,2,9,0,0,0,1,8,3,1,1,3,9,2,9,1,9,1,2,2,7,0,1,3,2,2,0,1,2,1,0,0,3,0,3,3,9,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,9,5,0,0,1,0,0,0,0,2,0,9,3,1,3,8,1,2,3,5,3,0,2,2,3,1,0,1,0,1,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-10,12,42,5,4,6,38,5,6,3,7,10,9,4,3,6,3,0,7,4,6,5,4,0,1,5,3,2,2,4,0,4,1,1,6,2,7,0,1,4,0,2,3,0,11,1,1,5,1,1,5,2,2,1,1,2,4,4,2,2,2,2,5,0,7,1,4,0,2,0,1,0,5,0,0,8,1,3,5,8,1,4,0,0,0,2,0,1,0,2,4,0,0,0,1,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,3,1,10,1,1,1,1,5,1,3,8,1,7,3,6,5,3,1,3,5,13,5,1,2,3,2,2,7,2,1,3,2,2,0,2,3,0,0,0,1,1,0,0,0,0,2,0,14,0,0,0,0,5,0,0,0,0,1,0,0,0
