fdate,order_date,airline,class,subclass,prc
2017-05-01,2016-11-22,AA,C,I,10731.0
2017-05-01,2017-04-26,AA,Y,K,4493.0
2017-05-01,2017-01-16,AA,Y,O,5045.0
2017-05-01,2017-03-08,AA,Y,O,4098.0
2017-05-01,2017-03-11,AA,Y,O,4089.0
2017-05-01,2017-03-18,AA,Y,O,3732.0
2017-05-01,2017-03-19,AA,Y,O,3990.0
2017-05-01,2017-03-21,AA,Y,O,3694.0
2017-05-01,2017-03-22,AA,Y,O,3694.0
2017-05-01,2017-03-25,AA,Y,O,3669.0
2017-05-01,2017-03-27,AA,Y,O,3881.0
2017-05-01,2017-04-18,AA,Y,O,3405.0
2017-05-01,2017-04-23,AA,Y,O,3379.0
2017-05-01,2017-04-26,AA,Y,O,4334.0
2017-05-01,2017-04-28,AA,Y,O,1380.0
2017-05-01,2017-05-01,AA,Y,O,2694.0
2017-05-01,2017-02-15,AA,Y,Q,5935.5
2017-05-01,2017-03-09,AA,Y,Q,3890.0
2017-05-01,2017-04-16,AA,Y,Q,1670.0
2017-05-01,2017-04-19,AA,Y,Q,4117.0
2017-05-01,2017-04-21,AA,Y,S,4777.0
2017-05-01,2017-04-13,AA,Y,V,4055.0
2017-05-01,2017-03-27,DL,C,Z,17836.0
2017-05-01,2017-04-01,DL,C,Z,16893.0
2017-05-01,2017-04-10,DL,C,Z,14660.0
2017-05-01,2017-04-24,DL,C,Z,14631.0
2017-05-01,2017-04-15,DL,Y,T,4657.0
2017-05-01,2017-01-17,DL,Y,V,3003.0
2017-05-01,2017-02-03,DL,Y,V,3633.0
2017-05-01,2017-03-06,DL,Y,V,3726.5
2017-05-01,2017-03-13,DL,Y,V,3509.0
2017-05-01,2017-03-21,DL,Y,V,3479.0
2017-05-01,2017-03-22,DL,Y,V,3760.0
2017-05-01,2017-03-23,DL,Y,V,3527.0
2017-05-01,2017-04-13,DL,Y,V,3637.0
2017-05-01,2017-04-14,DL,Y,V,3637.0
2017-05-01,2017-04-18,DL,Y,V,3635.0
2017-05-01,2017-04-19,DL,Y,V,3633.0
2017-05-01,2017-04-20,DL,Y,V,4086.0
2017-05-01,2017-04-21,DL,Y,V,3527.0
2017-05-01,2017-04-22,DL,Y,V,3414.0
2017-05-01,2017-04-23,DL,Y,V,3456.0
2017-05-01,2017-04-24,DL,Y,V,3730.5
2017-05-01,2017-04-24,DL,Y,X,4574.0
2017-05-01,2017-03-23,MU,C,D,23431.0
2017-05-01,2017-03-28,MU,C,D,15829.0
2017-05-01,2017-04-01,MU,C,D,26488.0
2017-05-01,2017-04-15,MU,C,D,18196.0
2017-05-01,2017-04-24,MU,C,D,19236.0
2017-05-01,2017-04-27,MU,C,D,21737.0
2017-05-01,2017-04-28,MU,C,D,28029.0
2017-05-01,2017-03-13,MU,C,I,20222.0
2017-05-01,2017-04-13,MU,C,I,17776.0
2017-05-01,2017-04-11,MU,Y,Q,3212.5
2017-05-01,2017-03-31,MU,Y,S,10500.0
2017-05-01,2017-04-11,MU,Y,S,8521.0
2017-05-01,2017-04-12,MU,Y,S,4120.0
2017-05-01,2017-04-18,MU,Y,S,4497.0
2017-05-01,2017-04-26,MU,Y,S,5269.0
2017-05-01,2017-02-18,MU,Y,T,4108.5
2017-05-01,2017-04-15,MU,Y,T,3957.0
2017-05-01,2017-02-07,MU,Y,V,5726.0
2017-05-01,2017-02-27,MU,Y,V,5824.0
2017-05-01,2017-03-02,MU,Y,V,3851.0
2017-05-01,2017-03-04,MU,Y,V,5596.0
2017-05-01,2017-03-13,MU,Y,V,4171.5
2017-05-01,2017-03-16,MU,Y,V,5607.0
2017-05-01,2017-03-17,MU,Y,V,3926.0
2017-05-01,2017-03-18,MU,Y,V,3925.0
2017-05-01,2017-03-20,MU,Y,V,3826.0
2017-05-01,2017-03-23,MU,Y,V,3762.0
2017-05-01,2017-03-29,MU,Y,V,4082.0
2017-05-01,2017-04-03,MU,Y,V,5719.0
2017-05-01,2017-04-04,MU,Y,V,4515.0
2017-05-01,2017-04-06,MU,Y,V,9327.0
2017-05-01,2017-04-09,MU,Y,V,6821.0
2017-05-01,2017-04-12,MU,Y,V,5031.0
2017-05-01,2017-04-15,MU,Y,V,6079.0
2017-05-01,2017-04-17,MU,Y,V,3812.0
2017-05-01,2017-04-18,MU,Y,V,6044.0
2017-05-01,2017-04-20,MU,Y,V,6079.0
2017-05-01,2017-04-22,MU,Y,V,5079.0
2017-05-01,2017-04-24,MU,Y,V,4553.0
2017-05-01,2017-04-25,MU,Y,V,7019.0
2017-05-01,2017-04-26,MU,Y,V,3848.0
2017-05-01,2017-04-27,MU,Y,V,5179.0
2017-05-01,2017-04-28,MU,Y,V,4003.0
2017-05-01,2017-04-29,MU,Y,V,5081.0
2017-05-01,2017-03-20,UA,C,P,24115.0
2017-05-01,2017-05-01,UA,C,P,3200.0
2017-05-01,2017-03-09,UA,Y,G,3763.0
2017-05-01,2017-03-16,UA,Y,G,4421.0
2017-05-01,2017-04-13,UA,Y,G,4337.0
2017-05-01,2017-04-22,UA,Y,G,8049.0
2017-05-01,2017-04-26,UA,Y,G,7158.0
2017-05-01,2017-03-08,UA,Y,K,3543.0
2017-05-01,2017-02-13,UA,Y,Q,2540.0
2017-05-01,2017-04-11,UA,Y,S,3638.0
2017-05-02,2017-02-16,AA,C,D,20497.0
2017-05-02,2017-05-02,AA,C,R,3670.0
2017-05-02,2017-02-13,AA,Y,N,10541.0
2017-05-02,2017-03-16,AA,Y,N,6256.0
2017-05-02,2017-02-14,AA,Y,O,4957.0
2017-05-02,2017-02-15,AA,Y,O,4468.0
2017-05-02,2017-03-05,AA,Y,O,3992.0
2017-05-02,2017-03-10,AA,Y,O,5336.0
2017-05-02,2017-03-22,AA,Y,O,3840.5
2017-05-02,2017-03-27,AA,Y,O,6962.0
2017-05-02,2017-03-29,AA,Y,O,4566.0
2017-05-02,2017-03-30,AA,Y,O,4728.0
2017-05-02,2017-04-06,AA,Y,O,4902.0
2017-05-02,2017-04-07,AA,Y,O,3530.0
2017-05-02,2017-04-08,AA,Y,O,3554.0
2017-05-02,2017-04-09,AA,Y,O,3692.0
2017-05-02,2017-04-10,AA,Y,O,4114.0
2017-05-02,2017-04-11,AA,Y,O,3503.0
2017-05-02,2017-04-13,AA,Y,O,3525.0
2017-05-02,2017-04-17,AA,Y,O,3488.0
2017-05-02,2017-04-19,AA,Y,O,3395.0
2017-05-02,2017-04-21,AA,Y,O,3370.0
2017-05-02,2017-04-23,AA,Y,O,2971.0
2017-05-02,2017-04-24,AA,Y,O,3594.0
2017-05-02,2017-04-25,AA,Y,O,4278.0
2017-05-02,2017-04-26,AA,Y,O,2399.0
2017-05-02,2017-04-27,AA,Y,O,3384.0
2017-05-02,2017-04-28,AA,Y,O,3384.0
2017-05-02,2017-04-30,AA,Y,O,3498.5
2017-05-02,2017-04-06,AA,Y,Q,4497.0
2017-05-02,2017-04-08,AA,Y,Q,3228.0
2017-05-02,2017-04-17,DL,C,I,5298.0
2017-05-02,2017-04-07,DL,C,Z,14658.0
2017-05-02,2017-04-23,DL,C,Z,15012.0
2017-05-02,2017-01-23,DL,Y,V,4310.0
2017-05-02,2017-04-18,DL,Y,V,3856.5
2017-05-02,2017-04-21,DL,Y,V,3567.0
