fdate,airline,class,subclass,prc
2017-11-01,AA,C,I,14123.0
2017-11-01,AA,Y,O,3802.0
2017-11-01,AA,Y,S,2459.5
2017-11-01,AA,Y,V,4512.0
2017-11-01,DL,C,I,26839.0
2017-11-01,DL,C,Z,15807.0
2017-11-01,DL,Y,L,7584.0
2017-11-01,DL,Y,V,3514.0
2017-11-01,DL,Y,X,2386.0
2017-11-01,MU,C,I,16393.0
2017-11-01,MU,Y,N,6454.0
2017-11-01,MU,Y,R,5772.0
2017-11-01,MU,Y,S,6083.0
2017-11-01,MU,Y,T,3981.0
2017-11-01,UA,C,P,13134.0
2017-11-01,UA,Y,G,3599.0
2017-11-02,AA,C,D,21940.5
2017-11-02,AA,Y,N,4424.0
2017-11-02,AA,Y,O,3726.0
2017-11-02,AA,Y,Q,4413.0
2017-11-02,AA,Y,S,2413.0
2017-11-02,DL,Y,V,3581.5
2017-11-02,DL,Y,X,2395.0
2017-11-02,MU,C,Q,30932.0
2017-11-02,MU,Y,R,6589.0
2017-11-02,MU,Y,S,4701.0
2017-11-02,MU,Y,T,3868.0
2017-11-02,MU,Y,V,3285.0
2017-11-02,UA,C,P,13134.0
2017-11-02,UA,Y,G,3615.0
2017-11-02,UA,Y,K,4538.0
2017-11-03,AA,Y,O,3581.0
2017-11-03,AA,Y,S,2357.0
2017-11-03,DL,C,D,41089.0
2017-11-03,DL,C,I,18414.5
2017-11-03,DL,Y,L,7907.0
2017-11-03,DL,Y,Q,7887.0
2017-11-03,DL,Y,T,4742.0
2017-11-03,DL,Y,V,3553.0
2017-11-03,DL,Y,X,2364.5
2017-11-03,MU,C,I,18531.0
2017-11-03,MU,C,Q,21563.0
2017-11-03,MU,Y,L,7388.0
2017-11-03,MU,Y,S,4580.0
2017-11-03,MU,Y,T,3978.0
2017-11-03,MU,Y,V,5403.0
2017-11-03,UA,C,P,13171.0
2017-11-03,UA,Y,G,3590.0
2017-11-04,AA,C,J,29192.0
2017-11-04,AA,Y,M,5684.0
2017-11-04,AA,Y,N,3718.0
2017-11-04,AA,Y,O,3746.0
2017-11-04,AA,Y,Q,5380.0
2017-11-04,AA,Y,S,2459.5
2017-11-04,AA,Y,V,4771.0
2017-11-04,DL,C,Z,16854.5
2017-11-04,DL,Y,T,5869.0
2017-11-04,DL,Y,V,3604.0
2017-11-04,DL,Y,X,4833.0
2017-11-04,MU,C,I,19489.5
2017-11-04,MU,Y,R,6766.0
