fdate,order_date,airline,class,subclass,prc
2017-12-02,2017-12-01,DL,Y,X,2206.0
2017-12-02,2017-08-13,MU,C,I,18573.0
2017-12-02,2017-10-01,MU,C,I,19523.0
2017-12-02,2017-10-10,MU,C,I,19391.0
2017-12-02,2017-10-19,MU,C,I,24062.5
2017-12-02,2017-11-06,MU,C,I,39510.0
2017-12-02,2017-11-12,MU,C,I,18757.0
2017-12-02,2017-11-18,MU,C,I,13458.0
2017-12-02,2017-12-02,MU,C,I,64787.0
2017-12-02,2017-12-01,MU,C,Q,29908.0
2017-12-02,2017-11-29,MU,Y,R,10381.0
2017-12-02,2017-11-30,MU,Y,R,7806.0
2017-12-02,2017-09-24,MU,Y,S,3337.0
2017-12-02,2017-10-31,MU,Y,S,3825.0
2017-12-02,2017-11-06,MU,Y,S,3955.0
2017-12-02,2017-11-10,MU,Y,S,3453.0
2017-12-02,2017-11-15,MU,Y,S,5110.0
2017-12-02,2017-11-18,MU,Y,S,3808.0
2017-12-02,2017-11-19,MU,Y,S,3577.0
2017-12-02,2017-11-22,MU,Y,S,5610.0
2017-12-02,2017-11-23,MU,Y,S,6506.5
2017-12-02,2017-11-29,MU,Y,S,8300.0
2017-12-02,2017-08-05,MU,Y,T,2649.0
2017-12-02,2017-08-13,MU,Y,T,3978.0
2017-12-02,2017-08-19,MU,Y,T,3965.0
2017-12-02,2017-09-05,MU,Y,T,4390.0
2017-12-02,2017-09-08,MU,Y,T,3505.0
2017-12-02,2017-09-17,MU,Y,T,4318.0
2017-12-02,2017-09-27,MU,Y,T,3852.0
2017-12-02,2017-10-16,MU,Y,T,3560.0
2017-12-02,2017-10-17,MU,Y,T,3848.0
2017-12-02,2017-10-19,MU,Y,T,8660.0
2017-12-02,2017-10-24,MU,Y,T,4246.0
2017-12-02,2017-10-15,UA,C,P,15636.0
2017-12-02,2017-10-17,UA,C,P,15693.0
2017-12-02,2017-11-28,UA,C,P,14319.0
2017-12-02,2017-07-21,UA,Y,G,4122.0
2017-12-02,2017-09-26,UA,Y,G,5715.0
2017-12-02,2017-10-12,UA,Y,G,4271.0
2017-12-02,2017-10-14,UA,Y,G,3732.0
2017-12-02,2017-10-15,UA,Y,G,4147.5
2017-12-02,2017-10-29,UA,Y,G,2348.0
2017-12-02,2017-11-11,UA,Y,G,4193.0
2017-12-02,2017-11-13,UA,Y,G,3666.0
2017-12-02,2017-11-14,UA,Y,G,3699.0
2017-12-02,2017-11-19,UA,Y,G,4498.0
2017-12-02,2017-11-20,UA,Y,G,2401.0
2017-12-02,2017-11-21,UA,Y,G,3613.0
2017-12-02,2017-11-24,UA,Y,G,3613.0
2017-12-02,2017-11-28,UA,Y,G,5407.0
2017-12-02,2017-11-30,UA,Y,G,3695.0
2017-12-03,2017-11-30,AA,C,D,7786.0
2017-12-03,2017-11-24,AA,C,I,14592.0
2017-12-03,2017-09-21,AA,Y,N,8071.0
2017-12-03,2017-11-24,AA,Y,N,2430.0
2017-12-03,2017-11-30,AA,Y,N,2362.0
2017-12-03,2017-08-29,AA,Y,O,3500.0
2017-12-03,2017-10-24,AA,Y,O,4258.0
2017-12-03,2017-11-21,AA,Y,O,4564.0
2017-12-03,2017-11-23,AA,Y,O,3763.0
2017-12-03,2017-11-29,AA,Y,O,4889.0
2017-12-03,2017-11-30,AA,Y,O,3767.0
2017-12-03,2017-12-03,AA,Y,O,3721.0
2017-12-03,2017-10-31,AA,Y,Q,5405.0
2017-12-03,2017-11-27,AA,Y,Q,3581.5
2017-12-03,2017-10-12,AA,Y,S,2319.0
2017-12-03,2017-10-17,AA,Y,S,2366.0
2017-12-03,2017-10-20,AA,Y,S,2413.0
2017-12-03,2017-11-02,AA,Y,S,2413.0
2017-12-03,2017-11-20,AA,Y,V,2351.0
2017-12-03,2017-11-03,DL,Y,T,5694.0
2017-12-03,2017-12-02,DL,Y,U,3486.0
2017-12-03,2017-08-16,DL,Y,V,3666.0
2017-12-03,2017-11-01,DL,Y,V,2013.0
2017-12-03,2017-11-10,DL,Y,V,3409.0
2017-12-03,2017-11-22,DL,Y,V,3853.0
2017-12-03,2017-11-23,DL,Y,V,3148.0
2017-12-03,2017-11-23,DL,Y,X,2129.0
2017-12-03,2017-11-27,DL,Y,X,2197.0
2017-12-03,2017-11-30,DL,Y,X,2186.0
2017-12-03,2017-12-01,DL,Y,X,5241.0
2017-12-03,2017-12-02,DL,Y,X,2191.0
2017-12-03,2017-10-11,MU,C,I,19523.0
2017-12-03,2017-10-14,MU,C,I,16039.0
2017-12-03,2017-10-24,MU,C,I,13699.0
2017-12-03,2017-10-27,MU,C,I,23893.0
2017-12-03,2017-11-02,MU,C,I,20633.0
2017-12-03,2017-11-06,MU,C,I,13457.0
2017-12-03,2017-11-01,MU,C,Q,28263.0
