search_date,flt_date,search_time
2017-10-01,2018-03-27,1
2017-10-01,2018-03-29,4
2017-10-02,2017-10-02,291
2017-10-02,2017-10-03,737
2017-10-02,2017-10-04,206
2017-10-02,2017-10-05,184
2017-10-02,2017-10-06,125
2017-10-02,2017-10-07,427
2017-10-02,2017-10-08,116
2017-10-02,2017-10-09,135
2017-10-02,2017-10-10,146
2017-10-02,2017-10-11,75
2017-10-02,2017-10-12,164
2017-10-02,2017-10-13,53
2017-10-02,2017-10-14,37
2017-10-02,2017-10-15,76
2017-10-02,2017-10-16,88
2017-10-02,2017-10-17,56
2017-10-02,2017-10-18,118
2017-10-02,2017-10-19,73
2017-10-02,2017-10-20,90
2017-10-02,2017-10-21,79
2017-10-02,2017-10-22,49
2017-10-02,2017-10-23,55
2017-10-02,2017-10-24,54
2017-10-02,2017-10-25,54
2017-10-02,2017-10-26,78
2017-10-02,2017-10-27,64
2017-10-02,2017-10-28,42
2017-10-02,2017-10-29,46
2017-10-02,2017-10-30,81
2017-10-02,2017-10-31,88
2017-10-02,2017-11-01,153
2017-10-02,2017-11-02,58
2017-10-02,2017-11-03,65
2017-10-02,2017-11-04,67
2017-10-02,2017-11-05,39
2017-10-02,2017-11-06,28
2017-10-02,2017-11-07,35
2017-10-02,2017-11-08,29
2017-10-02,2017-11-09,27
2017-10-02,2017-11-10,31
2017-10-02,2017-11-11,39
2017-10-02,2017-11-12,38
2017-10-02,2017-11-13,19
2017-10-02,2017-11-14,34
2017-10-02,2017-11-15,56
2017-10-02,2017-11-16,11
2017-10-02,2017-11-17,37
2017-10-02,2017-11-18,24
2017-10-02,2017-11-19,17
2017-10-02,2017-11-20,46
2017-10-02,2017-11-21,22
2017-10-02,2017-11-22,21
2017-10-02,2017-11-23,22
2017-10-02,2017-11-24,31
2017-10-02,2017-11-25,36
2017-10-02,2017-11-26,20
2017-10-02,2017-11-27,16
2017-10-02,2017-11-28,16
2017-10-02,2017-11-29,26
2017-10-02,2017-11-30,37
2017-10-02,2017-12-01,79
2017-10-02,2017-12-02,21
2017-10-02,2017-12-03,30
2017-10-02,2017-12-04,21
2017-10-02,2017-12-05,29
2017-10-02,2017-12-06,15
2017-10-02,2017-12-07,10
2017-10-02,2017-12-08,31
2017-10-02,2017-12-09,16
2017-10-02,2017-12-10,23
2017-10-02,2017-12-11,11
2017-10-02,2017-12-12,20
2017-10-02,2017-12-13,38
2017-10-02,2017-12-14,30
2017-10-02,2017-12-15,38
2017-10-02,2017-12-16,24
2017-10-02,2017-12-17,16
2017-10-02,2017-12-18,22
2017-10-02,2017-12-19,17
2017-10-02,2017-12-20,27
2017-10-02,2017-12-21,36
2017-10-02,2017-12-22,68
2017-10-02,2017-12-23,80
2017-10-02,2017-12-24,27
2017-10-02,2017-12-25,28
2017-10-02,2017-12-26,20
2017-10-02,2017-12-27,15
2017-10-02,2017-12-28,34
2017-10-02,2017-12-29,20
2017-10-02,2017-12-30,34
2017-10-02,2017-12-31,18
2017-10-02,2018-01-01,20
2017-10-02,2018-01-02,18
2017-10-02,2018-01-03,9
2017-10-02,2018-01-04,18
2017-10-02,2018-01-05,29
2017-10-02,2018-01-06,32
2017-10-02,2018-01-07,26
2017-10-02,2018-01-08,22
2017-10-02,2018-01-09,22
2017-10-02,2018-01-10,23
2017-10-02,2018-01-11,41
2017-10-02,2018-01-12,10
2017-10-02,2018-01-13,14
2017-10-02,2018-01-14,7
2017-10-02,2018-01-15,13
2017-10-02,2018-01-16,11
2017-10-02,2018-01-17,9
2017-10-02,2018-01-18,12
2017-10-02,2018-01-19,10
2017-10-02,2018-01-20,10
2017-10-02,2018-01-21,7
2017-10-02,2018-01-22,7
2017-10-02,2018-01-23,12
2017-10-02,2018-01-24,11
2017-10-02,2018-01-25,36
2017-10-02,2018-01-26,27
2017-10-02,2018-01-27,26
2017-10-02,2018-01-28,27
2017-10-02,2018-01-29,10
2017-10-02,2018-01-30,21
2017-10-02,2018-01-31,27
2017-10-02,2018-02-01,66
2017-10-02,2018-02-02,14
2017-10-02,2018-02-03,59
2017-10-02,2018-02-04,45
2017-10-02,2018-02-05,34
2017-10-02,2018-02-06,39
2017-10-02,2018-02-07,47
2017-10-02,2018-02-08,58
2017-10-02,2018-02-09,86
2017-10-02,2018-02-10,98
2017-10-02,2018-02-11,47
2017-10-02,2018-02-12,70
2017-10-02,2018-02-13,78
2017-10-02,2018-02-14,220
2017-10-02,2018-02-15,74
2017-10-02,2018-02-16,82
2017-10-02,2018-02-17,50
2017-10-02,2018-02-18,30
2017-10-02,2018-02-19,11
2017-10-02,2018-02-20,15
2017-10-02,2018-02-21,5
2017-10-02,2018-02-22,4
2017-10-02,2018-02-23,3
2017-10-02,2018-02-24,1
2017-10-02,2018-02-25,1
2017-10-02,2018-02-26,5
2017-10-02,2018-02-27,2
2017-10-02,2018-02-28,7
2017-10-02,2018-03-01,12
2017-10-02,2018-03-02,3
2017-10-02,2018-03-03,13
2017-10-02,2018-03-04,3
2017-10-02,2018-03-05,2
2017-10-02,2018-03-06,8
2017-10-02,2018-03-07,1
2017-10-02,2018-03-08,9
2017-10-02,2018-03-09,9
2017-10-02,2018-03-10,2
2017-10-02,2018-03-11,3
2017-10-02,2018-03-12,6
2017-10-02,2018-03-13,6
2017-10-02,2018-03-14,3
2017-10-02,2018-03-15,4
2017-10-02,2018-03-16,2
2017-10-02,2018-03-17,4
2017-10-02,2018-03-18,1
2017-10-02,2018-03-19,4
2017-10-02,2018-03-20,2
2017-10-02,2018-03-21,4
2017-10-02,2018-03-22,3
2017-10-02,2018-03-23,3
2017-10-02,2018-03-24,6
2017-10-02,2018-03-26,5
2017-10-02,2018-03-27,1
2017-10-02,2018-03-28,4
2017-10-02,2018-03-29,2
2017-10-02,2018-03-30,3
2017-10-02,2018-03-31,1
2017-10-03,2017-10-03,227
2017-10-03,2017-10-04,647
2017-10-03,2017-10-05,166
2017-10-03,2017-10-06,97
2017-10-03,2017-10-07,179
2017-10-03,2017-10-08,130
2017-10-03,2017-10-09,363
2017-10-03,2017-10-10,173
2017-10-03,2017-10-11,100
2017-10-03,2017-10-12,95
2017-10-03,2017-10-13,39
2017-10-03,2017-10-14,69
2017-10-03,2017-10-15,69
2017-10-03,2017-10-16,69
2017-10-03,2017-10-17,54
2017-10-03,2017-10-18,90
2017-10-03,2017-10-19,106
2017-10-03,2017-10-20,58
2017-10-03,2017-10-21,47
2017-10-03,2017-10-22,67
2017-10-03,2017-10-23,71
2017-10-03,2017-10-24,43
2017-10-03,2017-10-25,65
2017-10-03,2017-10-26,69
2017-10-03,2017-10-27,40
2017-10-03,2017-10-28,61
2017-10-03,2017-10-29,80
2017-10-03,2017-10-30,44
2017-10-03,2017-10-31,37
2017-10-03,2017-11-01,129
2017-10-03,2017-11-02,55
2017-10-03,2017-11-03,25
2017-10-03,2017-11-04,20
2017-10-03,2017-11-05,36
2017-10-03,2017-11-06,28
2017-10-03,2017-11-07,24
2017-10-03,2017-11-08,37
2017-10-03,2017-11-09,30
2017-10-03,2017-11-10,28
2017-10-03,2017-11-11,36
2017-10-03,2017-11-12,22
2017-10-03,2017-11-13,30
2017-10-03,2017-11-14,36
2017-10-03,2017-11-15,54
2017-10-03,2017-11-16,31
2017-10-03,2017-11-17,33
2017-10-03,2017-11-18,28
2017-10-03,2017-11-19,36
2017-10-03,2017-11-20,25
2017-10-03,2017-11-21,13
2017-10-03,2017-11-22,24
2017-10-03,2017-11-23,13
2017-10-03,2017-11-24,17
2017-10-03,2017-11-25,19
2017-10-03,2017-11-26,10
2017-10-03,2017-11-27,6
2017-10-03,2017-11-28,22
