search_date,flt_date,search_time
2018-04-01,2018-04-01,573
2018-04-01,2018-04-02,1591
2018-04-01,2018-04-03,1339
2018-04-01,2018-04-04,887
2018-04-01,2018-04-05,780
2018-04-01,2018-04-06,745
2018-04-01,2018-04-07,716
2018-04-01,2018-04-08,744
2018-04-01,2018-04-09,605
2018-04-01,2018-04-10,716
2018-04-01,2018-04-11,549
2018-04-01,2018-04-12,578
2018-04-01,2018-04-13,565
2018-04-01,2018-04-14,529
2018-04-01,2018-04-15,557
2018-04-01,2018-04-16,571
2018-04-01,2018-04-17,562
2018-04-01,2018-04-18,548
2018-04-01,2018-04-19,502
2018-04-01,2018-04-20,525
2018-04-01,2018-04-21,493
2018-04-01,2018-04-22,500
2018-04-01,2018-04-23,441
2018-04-01,2018-04-24,424
2018-04-01,2018-04-25,518
2018-04-01,2018-04-26,470
2018-04-01,2018-04-27,721
2018-04-01,2018-04-28,786
2018-04-01,2018-04-29,792
2018-04-01,2018-04-30,762
2018-04-01,2018-05-01,596
2018-04-01,2018-05-02,540
2018-04-01,2018-05-03,413
2018-04-01,2018-05-04,376
2018-04-01,2018-05-05,419
2018-04-01,2018-05-06,386
2018-04-01,2018-05-07,417
2018-04-01,2018-05-08,328
2018-04-01,2018-05-09,275
2018-04-01,2018-05-10,304
2018-04-01,2018-05-11,253
2018-04-01,2018-05-12,266
2018-04-01,2018-05-13,215
2018-04-01,2018-05-14,226
2018-04-01,2018-05-15,273
2018-04-01,2018-05-16,235
2018-04-01,2018-05-17,204
2018-04-01,2018-05-18,240
2018-04-01,2018-05-19,221
2018-04-01,2018-05-20,195
2018-04-01,2018-05-21,186
2018-04-01,2018-05-22,154
2018-04-01,2018-05-23,170
2018-04-01,2018-05-24,159
2018-04-01,2018-05-25,187
2018-04-01,2018-05-26,171
2018-04-01,2018-05-27,167
2018-04-01,2018-05-28,159
2018-04-01,2018-05-29,168
2018-04-01,2018-05-30,177
2018-04-01,2018-05-31,140
2018-04-01,2018-06-01,283
2018-04-01,2018-06-02,315
2018-04-01,2018-06-03,268
2018-04-01,2018-06-04,256
2018-04-01,2018-06-05,216
2018-04-01,2018-06-06,208
2018-04-01,2018-06-07,279
2018-04-01,2018-06-08,222
2018-04-01,2018-06-09,205
2018-04-01,2018-06-10,239
2018-04-01,2018-06-11,212
2018-04-01,2018-06-12,196
2018-04-01,2018-06-13,211
2018-04-01,2018-06-14,220
2018-04-01,2018-06-15,295
2018-04-01,2018-06-16,276
2018-04-01,2018-06-17,184
2018-04-01,2018-06-18,208
2018-04-01,2018-06-19,220
2018-04-01,2018-06-20,238
2018-04-01,2018-06-21,194
2018-04-01,2018-06-22,257
2018-04-01,2018-06-23,251
2018-04-01,2018-06-24,192
2018-04-01,2018-06-25,240
2018-04-01,2018-06-26,194
2018-04-01,2018-06-27,215
2018-04-01,2018-06-28,248
2018-04-01,2018-06-29,328
2018-04-01,2018-06-30,339
2018-04-01,2018-07-01,259
2018-04-01,2018-07-02,296
2018-04-01,2018-07-03,195
2018-04-01,2018-07-04,177
2018-04-01,2018-07-05,205
2018-04-01,2018-07-06,228
2018-04-01,2018-07-07,218
2018-04-01,2018-07-08,199
2018-04-01,2018-07-09,191
2018-04-01,2018-07-10,217
2018-04-01,2018-07-11,189
2018-04-01,2018-07-12,177
2018-04-01,2018-07-13,139
2018-04-01,2018-07-14,198
2018-04-01,2018-07-15,212
2018-04-01,2018-07-16,204
2018-04-01,2018-07-17,166
2018-04-01,2018-07-18,177
2018-04-01,2018-07-19,150
2018-04-01,2018-07-20,159
2018-04-01,2018-07-21,152
2018-04-01,2018-07-22,130
2018-04-01,2018-07-23,147
2018-04-01,2018-07-24,110
2018-04-01,2018-07-25,130
2018-04-01,2018-07-26,132
2018-04-01,2018-07-27,170
2018-04-01,2018-07-28,191
2018-04-01,2018-07-29,169
2018-04-01,2018-07-30,138
2018-04-01,2018-07-31,81
2018-04-01,2018-08-01,194
2018-04-01,2018-08-02,150
2018-04-01,2018-08-03,142
2018-04-01,2018-08-04,141
2018-04-01,2018-08-05,120
2018-04-01,2018-08-06,145
2018-04-01,2018-08-07,114
2018-04-01,2018-08-08,121
2018-04-01,2018-08-09,114
2018-04-01,2018-08-10,140
2018-04-01,2018-08-11,155
2018-04-01,2018-08-12,104
2018-04-01,2018-08-13,113
2018-04-01,2018-08-14,108
2018-04-01,2018-08-15,124
2018-04-01,2018-08-16,106
2018-04-01,2018-08-17,109
2018-04-01,2018-08-18,122
2018-04-01,2018-08-19,87
2018-04-01,2018-08-20,99
2018-04-01,2018-08-21,80
2018-04-01,2018-08-22,103
2018-04-01,2018-08-23,93
2018-04-01,2018-08-24,76
2018-04-01,2018-08-25,87
2018-04-01,2018-08-26,92
2018-04-01,2018-08-27,89
2018-04-01,2018-08-28,96
2018-04-01,2018-08-29,82
2018-04-01,2018-08-30,76
2018-04-01,2018-08-31,58
2018-04-01,2018-09-01,122
2018-04-01,2018-09-02,106
2018-04-01,2018-09-03,94
2018-04-01,2018-09-04,87
2018-04-01,2018-09-05,74
2018-04-01,2018-09-06,73
2018-04-01,2018-09-07,70
2018-04-01,2018-09-08,78
2018-04-01,2018-09-09,74
2018-04-01,2018-09-10,79
2018-04-01,2018-09-11,71
2018-04-01,2018-09-12,74
2018-04-01,2018-09-13,68
2018-04-01,2018-09-14,67
2018-04-01,2018-09-15,86
2018-04-01,2018-09-16,62
2018-04-01,2018-09-17,53
2018-04-01,2018-09-18,64
2018-04-01,2018-09-19,57
2018-04-01,2018-09-20,92
2018-04-01,2018-09-21,156
2018-04-01,2018-09-22,197
2018-04-01,2018-09-23,109
2018-04-01,2018-09-24,95
2018-04-01,2018-09-25,80
2018-04-01,2018-09-26,70
2018-04-01,2018-09-27,68
2018-04-01,2018-09-28,97
2018-04-02,2018-04-02,721
2018-04-02,2018-04-03,2230
2018-04-02,2018-04-04,1784
2018-04-02,2018-04-05,1264
2018-04-02,2018-04-06,1031
2018-04-02,2018-04-07,994
2018-04-02,2018-04-08,952
2018-04-02,2018-04-09,1074
2018-04-02,2018-04-10,957
2018-04-02,2018-04-11,791
2018-04-02,2018-04-12,850
2018-04-02,2018-04-13,779
2018-04-02,2018-04-14,744
2018-04-02,2018-04-15,767
2018-04-02,2018-04-16,836
2018-04-02,2018-04-17,752
2018-04-02,2018-04-18,733
2018-04-02,2018-04-19,779
2018-04-02,2018-04-20,752
2018-04-02,2018-04-21,691
2018-04-02,2018-04-22,738
2018-04-02,2018-04-23,680
2018-04-02,2018-04-24,630
2018-04-02,2018-04-25,695
2018-04-02,2018-04-26,748
2018-04-02,2018-04-27,896
2018-04-02,2018-04-28,1026
2018-04-02,2018-04-29,1120
2018-04-02,2018-04-30,1057
2018-04-02,2018-05-01,951
2018-04-02,2018-05-02,690
2018-04-02,2018-05-03,677
2018-04-02,2018-05-04,606
2018-04-02,2018-05-05,692
2018-04-02,2018-05-06,708
2018-04-02,2018-05-07,615
2018-04-02,2018-05-08,557
