searchdate,order_cnt
2017-11-16,18720
2017-11-17,16736
2017-11-18,13178
2017-11-19,12344
2017-11-20,17335
2017-11-21,19311
2017-11-22,16208
2017-11-23,16248
2017-11-24,13147
2017-11-25,11836
2017-11-26,11626
2017-11-27,31210
2017-11-28,14745
2017-11-29,18382
2017-11-30,18042
2017-12-01,19586
2017-12-02,13994
2017-12-03,12868
2017-12-04,19666
2017-12-05,19984
2017-12-06,20105
2017-12-07,19347
2017-12-08,17728
2017-12-09,13596
2017-12-10,14576
2017-12-11,17804
2017-12-12,17780
2017-12-13,17733
2017-12-14,17892
2017-12-15,14747
2017-12-16,12965
2017-12-17,12469
2017-12-18,18533
2017-12-19,21956
2017-12-20,17141
2017-12-21,14031
2017-12-22,15847
2017-12-23,12980
2017-12-24,13037
2017-12-25,18442
2017-12-26,17391
2017-12-27,18726
2017-12-28,17627
2017-12-29,17128
2017-12-30,12735
2017-12-31,11374
