take_off_time,order_cnt
13:00,2032
13:25,212
16:15,1
16:50,399
17:10,1
18:00,398
18:10,5
18:20,1922
19:30,1149
19:55,140
20:10,816
20:25,524
20:50,155
20:55,1
21:00,1828
21:05,212
21:20,577
21:35,752
21:50,76
