take_off_time,order_cnt
13:00,1912
13:25,136
16:50,498
18:00,381
18:10,10
18:20,1986
19:30,922
19:55,120
20:10,830
20:25,526
20:50,69
20:55,4
21:00,1449
21:20,445
21:35,679
