date_diff,conversion_rate
0,0.008781366108962182
1,0.003627749284880222
2,0.007513319791987919
3,0.008438009396874101
4,0.00795057915057915
5,0.007837626854020298
6,0.0071254578698950926
7,0.005884536942380364
8,0.007245743125913526
9,0.0076686017343940375
10,0.007441124615374302
11,0.007343173680555088
12,0.0072377771951370965
13,0.006588662157030954
14,0.006578453004706702
15,0.006702627457804072
16,0.006725564519697349
17,0.006662948279240846
18,0.006459033125395121
19,0.006085490705514831
20,0.005995063804607635
21,0.005933109228076154
22,0.005827154221114304
23,0.005708547799204599
24,0.006038501485471365
25,0.005469006231551329
26,0.005756666366840293
27,0.005118774206123885
28,0.004938292448211241
29,0.005068957572166815
30,0.005667920581636612
31,0.0053345440099880825
32,0.004268685567010309
33,0.004617247817530403
34,0.004348089174727488
35,0.004747984434058875
36,0.004739658046756872
37,0.004993414197809975
38,0.00496124031007752
39,0.005126162832256022
40,0.004529226834336868
41,0.004427859614003786
42,0.004483807240682782
43,0.004744945237749668
44,0.005037558790094287
45,0.005074026865378958
46,0.005487127843623312
47,0.004750530431417553
48,0.005249737513124344
49,0.004887793267596056
50,0.0050631116153737055
51,0.005544245679386668
52,0.005430497076458423
53,0.0062328332981195856
54,0.0054519190444385765
55,0.0045880359369504745
56,0.004981259431130438
57,0.00543857898413332
58,0.0048532393710733635
59,0.005009258034651501
60,0.005014489922177721
61,0.004727022813751949
62,0.0050209893818421265
63,0.0042101378778221345
64,0.0045409539417528766
65,0.005550691647697426
66,0.00485134967035701
67,0.0051862582041239695
68,0.00430615112968902
69,0.004663938354901744
70,0.004505265529087121
71,0.004929320827819016
72,0.004559990524695014
73,0.00471166237113402
74,0.004740674991426439
75,0.0045865949119373774
76,0.005060180750489359
77,0.004821127631887706
78,0.004306650668495029
79,0.004454824618312357
80,0.0038356868879508
81,0.003953518850203137
82,0.004159398899771904
83,0.004786340520514532
84,0.0037433784579164213
85,0.0037632245390641643
86,0.003910748560460652
87,0.004563482582309934
88,0.004287372385531895
89,0.0034599845267772717
90,0.004426812453131425
91,0.00404100875551897
92,0.004096108696738099
93,0.004081632653061225
94,0.0032967573684987454
95,0.0032692559173532103
96,0.0039195545223549766
97,0.0037016106244701892
98,0.0041817917816175405
99,0.00391495684974567
100,0.005053840631730079
101,0.003941176470588235
102,0.003668247293549253
103,0.00425881422443951
104,0.0038005333006405737
105,0.0044896549558883555
106,0.003645083932853717
107,0.0039599569156687576
108,0.0038127793846962923
109,0.00483107882987939
110,0.0038302277432712213
111,0.0038674610640744224
112,0.004811976474781679
113,0.0036480531676659684
114,0.0035315315315315315
115,0.0028383957534650547
116,0.003726299638329741
117,0.0034646380959554115
118,0.004896193114965651
119,0.003412427585112293
120,0.004385135901410048
121,0.004000293599530241
122,0.0030784623080771156
123,0.002957931638913234
124,0.0030269779408982557
125,0.003005259203606311
126,0.003302431066725023
127,0.00236976506639428
128,0.0028620492272467086
129,0.00276023587470202
130,0.002436305074947351
131,0.0021837800805001284
132,0.0027180067950169874
133,0.0029461655209356307
134,0.0023114297844237935
135,0.002945852426821285
136,0.0025799054034685394
137,0.0031918607550745597
138,0.002704633598693611
139,0.002612704918032787
140,0.0026819520403870427
141,0.0018063967697375411
142,0.0024832250224546943
143,0.0021025392204431508
144,0.0031662845288786988
145,0.0030561012879283997
146,0.002429241285803062
147,0.0023300750170493294
148,0.0022979024275276926
149,0.002856816363844132
150,0.0027717166951701363
151,0.0021216407355021216
152,0.0029139227227693923
153,0.002138110372724646
154,0.001555793991416309
155,0.002230957186869223
156,0.002565856996236743
157,0.0016682422287716177
158,0.0020247599213236143
159,0.0018381262970649274
160,0.0012143290831815423
161,0.0015286779992662346
162,0.0016128031759816389
163,0.0018965735238336073
164,0.0017842859779732972
165,0.0015341188021600392
166,0.0019471668722009477
167,0.0015945784333266893
168,0.0014739380946000268
169,0.002070107645597571
170,0.0020787139689578712
171,0.0022621235684999294
172,0.00221302113078241
173,0.001344176355937899
174,0.001820830298616169
175,0.0017111822037050816
176,0.0006823868375161119
177,0.0017923940149625936
178,0.001851851851851852
179,0.0015596782137580036
180,0.0011443661971830986
