fdate,order_date,airline,class,subclass,prc
2017-11-01,2017-08-30,AA,C,I,14123.0
2017-11-01,2017-10-22,AA,C,I,12330.0
2017-11-01,2017-10-28,AA,C,I,19063.0
2017-11-01,2017-05-05,AA,Y,O,3556.0
2017-11-01,2017-06-17,AA,Y,O,5888.0
2017-11-01,2017-07-20,AA,Y,O,3823.0
2017-11-01,2017-08-03,AA,Y,O,4061.0
2017-11-01,2017-08-17,AA,Y,O,3560.0
2017-11-01,2017-09-06,AA,Y,O,3847.0
2017-11-01,2017-09-23,AA,Y,O,3802.0
2017-11-01,2017-09-26,AA,Y,O,3513.0
2017-11-01,2017-10-18,AA,Y,O,4053.0
2017-11-01,2017-10-19,AA,Y,O,3082.0
2017-11-01,2017-10-20,AA,Y,O,4507.0
2017-11-01,2017-10-26,AA,Y,O,3636.0
2017-11-01,2017-10-27,AA,Y,O,3724.0
2017-11-01,2017-10-28,AA,Y,O,3636.0
2017-11-01,2017-10-31,AA,Y,O,3553.0
2017-11-01,2017-11-01,AA,Y,O,5545.0
2017-11-01,2017-09-27,AA,Y,S,4307.0
2017-11-01,2017-10-09,AA,Y,S,2506.0
2017-11-01,2017-10-18,AA,Y,S,2367.0
2017-11-01,2017-10-31,AA,Y,S,2413.0
2017-11-01,2017-10-22,AA,Y,V,4512.0
2017-11-01,2017-08-29,DL,C,I,26839.0
2017-11-01,2017-07-22,DL,C,Z,15807.0
2017-11-01,2017-09-02,DL,C,Z,13542.0
2017-11-01,2017-09-20,DL,C,Z,14038.0
2017-11-01,2017-09-25,DL,C,Z,9184.0
2017-11-01,2017-10-02,DL,C,Z,16909.0
2017-11-01,2017-10-31,DL,C,Z,20124.0
2017-11-01,2017-11-01,DL,C,Z,17184.0
2017-11-01,2017-10-24,DL,Y,L,7584.0
2017-11-01,2017-04-18,DL,Y,V,2067.0
2017-11-01,2017-06-20,DL,Y,V,4013.0
2017-11-01,2017-07-22,DL,Y,V,3827.0
2017-11-01,2017-08-06,DL,Y,V,3620.0
2017-11-01,2017-08-17,DL,Y,V,6580.0
2017-11-01,2017-08-23,DL,Y,V,3601.0
2017-11-01,2017-08-31,DL,Y,V,3546.5
2017-11-01,2017-09-04,DL,Y,V,3514.0
2017-11-01,2017-09-07,DL,Y,V,3439.0
2017-11-01,2017-09-10,DL,Y,V,3461.0
2017-11-01,2017-09-17,DL,Y,V,3508.0
2017-11-01,2017-09-19,DL,Y,V,3641.5
2017-11-01,2017-10-10,DL,Y,V,4461.0
2017-11-01,2017-10-21,DL,Y,V,3608.0
2017-11-01,2017-10-23,DL,Y,V,4101.0
2017-11-01,2017-10-28,DL,Y,V,3460.0
2017-11-01,2017-10-29,DL,Y,V,3460.0
2017-11-01,2017-10-31,DL,Y,V,1934.5
2017-11-01,2017-09-21,DL,Y,X,2413.0
2017-11-01,2017-09-26,DL,Y,X,2294.0
2017-11-01,2017-10-09,DL,Y,X,2325.0
2017-11-01,2017-10-16,DL,Y,X,2455.5
2017-11-01,2017-10-26,DL,Y,X,2359.0
2017-11-01,2017-08-22,MU,C,I,25455.0
2017-11-01,2017-10-22,MU,C,I,16392.0
2017-11-01,2017-10-30,MU,C,I,16393.0
2017-11-01,2017-10-25,MU,Y,N,6454.0
2017-11-01,2017-10-22,MU,Y,R,5772.0
2017-11-01,2017-10-23,MU,Y,S,6083.0
2017-11-01,2017-09-26,MU,Y,T,3981.0
2017-11-01,2017-07-03,UA,C,P,21550.0
2017-11-01,2017-10-04,UA,C,P,16181.0
2017-11-01,2017-10-20,UA,C,P,11556.0
2017-11-01,2017-10-25,UA,C,P,12698.5
2017-11-01,2017-10-31,UA,C,P,13287.5
2017-11-01,2017-05-13,UA,Y,G,3951.0
2017-11-01,2017-08-14,UA,Y,G,6270.0
2017-11-01,2017-09-11,UA,Y,G,6405.0
2017-11-01,2017-09-28,UA,Y,G,3543.0
2017-11-01,2017-10-05,UA,Y,G,3673.0
2017-11-01,2017-10-09,UA,Y,G,3778.0
2017-11-01,2017-10-10,UA,Y,G,3659.0
2017-11-01,2017-10-11,UA,Y,G,4003.0
2017-11-01,2017-10-20,UA,Y,G,2368.0
2017-11-01,2017-10-22,UA,Y,G,3599.0
2017-11-01,2017-10-23,UA,Y,G,3578.5
2017-11-01,2017-10-25,UA,Y,G,2960.5
2017-11-01,2017-10-26,UA,Y,G,2960.5
2017-11-01,2017-10-29,UA,Y,G,3522.0
2017-11-01,2017-10-31,UA,Y,G,3701.0
2017-11-01,2017-11-01,UA,Y,G,2396.0
2017-11-02,2017-08-25,AA,C,D,26167.0
2017-11-02,2017-10-19,AA,C,D,17714.0
2017-11-02,2017-10-15,AA,Y,N,4334.0
2017-11-02,2017-10-23,AA,Y,N,4514.0
2017-11-02,2017-04-13,AA,Y,O,3726.0
2017-11-02,2017-10-04,AA,Y,O,4319.0
2017-11-02,2017-10-05,AA,Y,O,3513.0
2017-11-02,2017-10-07,AA,Y,O,4448.0
