date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/2/10,одмЧрд║╓╩Пе╚бЁбЁ,108,1550,916,4137 ,10453 ,4137 ,8922 ,104,1221,761,,6128 ,,8922 
2016/2/11,одмЧрд║╓╩Пе╚бЁбЁ,103,1798,980,,,,,106,1435,813,,9455 ,,
2016/2/12,одмЧрд║╓╩Пе╚бЁбЁ,109,1915,982,4137 ,8378 ,4137 ,7199 ,110,1430,824,5032 ,8080 ,2966 ,7199 
2016/2/13,одмЧрд║╓╩Пе╚бЁбЁ,115,2135,1110,2242 ,10002 ,2242 ,8265 ,106,1396,861,9203 ,,6254 ,8265 
2016/2/14,одмЧрд║╓╩Пе╚бЁбЁ,112,2642,1268,3309 ,5783 ,2119 ,5091 ,115,1671,920,,22028 ,,5091 
2016/2/15,одмЧрд║╓╩Пе╚бЁбЁ,118,2880,1392,3465 ,7203 ,2623 ,6042 ,105,1950,1059,5831 ,12155 ,5831 ,6042 
2016/2/16,одмЧрд║╓╩Пе╚бЁбЁ,130,2932,1407,2118 ,10765 ,2118 ,9615 ,107,1880,1055,2618 ,10121 ,2291 ,9615 
2016/2/17,одмЧрд║╓╩Пе╚бЁбЁ,125,2890,1321,2116 ,8585 ,2116 ,7190 ,120,1958,996,5254 ,,5110 ,7190 
2016/2/18,одмЧрд║╓╩Пе╚бЁбЁ,125,2585,1311,3210 ,15273 ,2116 ,13697 ,111,1814,996,2283 ,10160 ,2278 ,13697 
2016/2/19,одмЧрд║╓╩Пе╚бЁбЁ,112,2585,1230,,12197 ,,10130 ,110,1682,871,1000 ,10226 ,1000 ,10130 
2016/2/20,одмЧрд║╓╩Пе╚бЁбЁ,118,2084,1018,4618 ,12377 ,4618 ,11352 ,108,1432,803,,6434 ,,11352 
2016/2/21,одмЧрд║╓╩Пе╚бЁбЁ,109,1880,1023,4303 ,,4303 ,,105,1403,814,,16223 ,,
2016/2/22,одмЧрд║╓╩Пе╚бЁбЁ,124,2568,1215,2116 ,14630 ,2116 ,15938 ,110,1558,834,2964 ,9577 ,2964 ,15938 
2016/2/23,одмЧрд║╓╩Пе╚бЁбЁ,123,2816,1253,4755 ,12597 ,4755 ,11579 ,107,1690,931,,12157 ,,11579 
2016/2/24,одмЧрд║╓╩Пе╚бЁбЁ,130,2736,1212,3463 ,8542 ,2622 ,7690 ,103,1836,959,,,,7690 
2016/2/25,одмЧрд║╓╩Пе╚бЁбЁ,123,2678,1249,,10064 ,,7942 ,110,1887,947,5469 ,5991 ,5469 ,7942 
2016/2/26,одмЧрд║╓╩Пе╚бЁбЁ,123,2301,1074,,11351 ,,10055 ,113,1689,852,2976 ,17790 ,2976 ,10055 
2016/2/27,одмЧрд║╓╩Пе╚бЁбЁ,124,1931,904,2118 ,7629 ,2118 ,7197 ,113,1386,755,,8524 ,,7197 
2016/2/28,одмЧрд║╓╩Пе╚бЁбЁ,106,1782,924,,6797 ,,6298 ,110,1545,817,3546 ,12778 ,1270 ,6298 
2016/2/29,одмЧрд║╓╩Пе╚бЁбЁ,116,2224,1038,2118 ,19600 ,2118 ,11745 ,115,1661,826,,16290 ,,11745 
2016/3/1,одмЧрд║╓╩Пе╚бЁбЁ,124,2351,1091,3463 ,10629 ,2622 ,9308 ,114,1619,817,,11688 ,,9308 
2016/3/2,одмЧрд║╓╩Пе╚бЁбЁ,114,2039,994,8510 ,12636 ,8510 ,10611 ,106,1651,828,,5078 ,,10611 
2016/3/3,одмЧрд║╓╩Пе╚бЁбЁ,118,2139,992,,13433 ,,13656 ,118,1593,794,2989 ,9877 ,2987 ,13656 
2016/3/4,одмЧрд║╓╩Пе╚бЁбЁ,127,2069,962,,14388 ,,14087 ,106,1344,732,,,,14087 
2016/3/5,одмЧрд║╓╩Пе╚бЁбЁ,102,1817,876,,31093 ,,27868 ,105,1330,724,2996 ,5581 ,2996 ,27868 
2016/3/6,одмЧрд║╓╩Пе╚бЁбЁ,116,1930,897,,11206 ,,9608 ,111,1401,753,2946 ,12064 ,2946 ,9608 
2016/3/7,одмЧрд║╓╩Пе╚бЁбЁ,117,2138,1009,,20051 ,,20051 ,108,1629,816,2946 ,8640 ,2946 ,20051 
2016/3/8,одмЧрд║╓╩Пе╚бЁбЁ,126,2423,1029,,16110 ,,13968 ,107,1483,767,,18024 ,,13968 
2016/3/9,одмЧрд║╓╩Пе╚бЁбЁ,132,2348,1005,2116 ,20820 ,2116 ,15846 ,112,1671,830,5896 ,13248 ,5896 ,15846 
2016/3/10,одмЧрд║╓╩Пе╚бЁбЁ,117,2263,1016,190 ,10224 ,190 ,9169 ,109,1461,724,,13813 ,,9169 
2016/3/11,одмЧрд║╓╩Пе╚бЁбЁ,126,1860,921,9136 ,24685 ,9136 ,12823 ,105,1551,770,,6327 ,,12823 
2016/3/12,одмЧрд║╓╩Пе╚бЁбЁ,105,1519,834,,,,,102,1327,657,2974 ,,2974 ,
2016/3/13,одмЧрд║╓╩Пе╚бЁбЁ,120,1888,894,7210 ,34101 ,5590 ,28339 ,108,1203,652,,7650 ,,28339 
2016/3/14,одмЧрд║╓╩Пе╚бЁбЁ,120,2176,1012,11925 ,17939 ,8041 ,15128 ,121,1570,786,,35232 ,,15128 
2016/3/15,одмЧрд║╓╩Пе╚бЁбЁ,114,2412,1059,,22551 ,,20714 ,111,1745,822,2861 ,13348 ,2861 ,20714 
2016/3/16,одмЧрд║╓╩Пе╚бЁбЁ,120,2087,990,14086 ,18128 ,14086 ,15612 ,105,1589,759,,11630 ,,15612 
2016/3/17,одмЧрд║╓╩Пе╚бЁбЁ,111,2033,1005,,15272 ,,13533 ,105,1548,830,,11003 ,,13533 
