search_date,order_cnt
2016-01-01,9294
2016-01-02,10082
2016-01-03,11423
2016-01-04,16456
2016-01-05,17811
2016-01-06,17907
2016-01-07,16910
2016-01-08,15217
2016-01-09,10546
2016-01-10,10062
2016-01-11,14956
2016-01-12,15889
2016-01-13,14693
2016-01-14,13668
2016-01-15,13343
2016-01-16,9575
2016-01-17,9314
2016-01-18,14282
2016-01-19,14007
2016-01-20,13534
2016-01-21,12665
2016-01-22,13164
2016-01-23,9115
2016-01-24,9052
2016-01-25,13071
2016-01-26,12322
2016-01-27,12497
2016-01-28,13386
2016-01-29,11926
2016-01-30,9394
2016-01-31,9824
2016-02-01,11757
2016-02-02,11557
2016-02-03,12645
2016-02-04,12040
2016-02-05,9984
2016-02-06,8017
2016-02-07,4852
2016-02-08,5634
2016-02-09,6752
2016-02-10,6732
2016-02-11,7378
2016-02-12,7589
2016-02-13,8519
2016-02-14,11733
2016-02-15,14806
2016-02-16,14110
2016-02-17,15125
2016-02-18,13745
2016-02-19,13158
2016-02-20,9268
2016-02-21,9011
2016-02-22,13686
2016-02-23,14762
2016-02-24,14715
2016-02-25,14213
2016-02-26,13158
2016-02-27,9135
2016-02-28,8766
2016-02-29,13954
2016-03-01,13601
2016-03-02,15005
2016-03-03,15035
2016-03-04,12626
2016-03-05,11743
2016-03-06,11082
2016-03-07,15778
2016-03-08,15152
2016-03-09,16071
2016-03-10,15491
2016-03-11,14239
2016-03-12,11002
2016-03-13,11889
2016-03-14,17027
2016-03-15,16997
2016-03-16,16850
2016-03-17,17377
2016-03-18,16550
2016-03-19,12144
2016-03-20,11994
2016-03-21,16801
2016-03-22,17094
2016-03-23,17908
2016-03-24,16924
2016-03-25,16521
2016-03-26,11602
2016-03-27,13148
2016-03-28,17724
2016-03-29,19900
2016-03-30,19300
2016-03-31,17691
2016-04-01,18665
2016-04-02,12355
2016-04-03,12104
2016-04-04,13307
2016-04-05,18623
2016-04-06,19580
2016-04-07,17456
2016-04-08,17673
2016-04-09,11887
2016-04-10,11799
2016-04-11,20578
2016-04-12,19651
2016-04-13,18575
2016-04-14,19355
2016-04-15,18611
2016-04-16,14341
2016-04-17,12517
2016-04-18,20696
2016-04-19,20554
2016-04-20,20150
2016-04-21,20849
2016-04-22,19074
2016-04-23,14945
2016-04-24,13725
2016-04-25,19862
2016-04-26,21206
2016-04-27,21015
2016-04-28,18171
2016-04-29,16185
2016-04-30,12768
2016-05-01,11213
2016-05-02,12767
2016-05-03,19458
2016-05-04,19753
2016-05-05,20988
2016-05-06,19095
2016-05-07,14297
2016-05-08,13537
2016-05-09,20016
2016-05-10,19314
2016-05-11,18942
2016-05-12,18467
2016-05-13,19238
2016-05-14,13285
2016-05-15,13250
2016-05-16,19929
2016-05-17,21669
2016-05-18,21126
2016-05-19,20736
2016-05-20,19917
2016-05-21,15149
2016-05-22,14290
2016-05-23,20188
2016-05-24,21217
2016-05-25,19127
2016-05-26,20578
2016-05-27,18746
2016-05-28,16027
2016-05-29,14181
2016-05-30,19558
2016-05-31,19178
2016-06-01,23054
2016-06-02,22327
2016-06-03,19934
2016-06-04,14667
2016-06-05,13288
2016-06-06,20261
2016-06-07,19925
2016-06-08,19743
2016-06-09,13963
2016-06-10,13284
2016-06-11,13552
2016-06-12,20742
2016-06-13,18408
2016-06-14,21607
2016-06-15,20034
2016-06-16,18467
2016-06-17,18368
2016-06-18,12890
2016-06-19,13875
2016-06-20,19646
2016-06-21,20485
2016-06-22,20701
2016-06-23,21058
2016-06-24,17381
2016-06-25,15490
2016-06-26,13627
2016-06-27,20133
2016-06-28,20901
2016-06-29,20144
2016-06-30,18808
2016-07-01,19053
2016-07-02,13903
2016-07-03,13728
2016-07-04,17262
2016-07-05,17825
2016-07-06,19468
2016-07-07,17805
2016-07-08,18279
2016-07-09,14062
2016-07-10,12893
2016-07-11,18563
2016-07-12,17882
2016-07-13,18414
2016-07-14,19190
2016-07-15,17657
2016-07-16,12508
2016-07-17,12203
2016-07-18,17655
2016-07-19,18592
2016-07-20,18969
2016-07-21,18598
2016-07-22,17517
2016-07-23,13973
2016-07-24,12480
2016-07-25,19471
2016-07-26,19123
2016-07-27,18937
2016-07-28,18586
2016-07-29,15670
2016-07-30,13985
2016-07-31,11799
2016-08-01,18945
2016-08-02,17966
2016-08-03,16700
2016-08-04,18310
2016-08-05,16494
2016-08-06,11822
2016-08-07,11642
2016-08-08,16332
2016-08-09,15889
2016-08-10,17310
2016-08-11,16666
2016-08-12,16136
2016-08-13,9935
2016-08-14,8936
2016-08-15,14518
2016-08-16,14771
2016-08-17,11951
2016-08-18,19109
2016-08-19,14221
2016-08-20,10946
2016-08-21,10962
2016-08-22,18923
2016-08-23,18732
2016-08-24,15997
2016-08-25,18937
2016-08-26,15773
2016-08-27,12403
2016-08-28,11938
2016-08-29,17241
2016-08-30,18354
2016-08-31,17043
2016-09-01,17303
2016-09-02,16559
2016-09-03,11281
2016-09-04,11442
2016-09-05,19590
2016-09-06,16620
2016-09-07,14694
2016-09-08,16878
2016-09-09,14816
2016-09-10,10657
2016-09-11,12089
2016-09-12,16886
2016-09-13,17083
2016-09-14,15783
2016-09-15,10656
2016-09-16,10648
2016-09-17,10693
2016-09-18,16839
2016-09-19,16210
2016-09-20,17968
2016-09-21,17146
2016-09-22,18080
2016-09-23,17625
2016-09-24,11330
2016-09-25,12215
2016-09-26,17025
2016-09-27,17374
2016-09-28,16283
2016-09-29,16637
2016-09-30,15560
2016-10-01,10770
2016-10-02,9339
2016-10-03,9636
2016-10-04,9280
2016-10-05,9991
2016-10-06,10834
2016-10-07,11975
2016-10-08,17245
2016-10-09,17171
2016-10-10,15529
2016-10-11,15402
2016-10-12,17038
2016-10-13,15830
2016-10-14,15005
2016-10-15,11432
2016-10-16,10592
2016-10-17,16493
2016-10-18,17209
2016-10-19,15384
2016-10-20,15108
2016-10-21,14436
2016-10-22,9510
2016-10-23,9125
2016-10-24,14649
2016-10-25,17655
2016-10-26,18315
2016-10-27,16600
2016-10-28,16573
2016-10-29,11501
2016-10-30,10677
2016-10-31,17118
2016-11-01,16522
2016-11-02,16656
2016-11-03,15642
2016-11-04,22881
2016-11-05,11601
2016-11-06,10701
2016-11-07,17388
2016-11-08,18170
2016-11-09,15697
2016-11-10,16076
2016-11-11,14808
2016-11-12,10153
2016-11-13,11198
2016-11-14,17583
2016-11-15,15337
2016-11-16,15961
2016-11-17,16111
2016-11-18,15986
2016-11-19,12134
2016-11-20,11436
2016-11-21,16360
2016-11-22,16900
2016-11-23,22454
2016-11-24,18804
2016-11-25,13019
2016-11-26,10484
2016-11-27,9114
2016-11-28,15326
2016-11-29,15611
2016-11-30,16185
2016-12-01,6020
2016-12-02,18443
2016-12-03,11613
2016-12-04,12150
2016-12-05,18855
2016-12-06,19066
2016-12-07,18760
2016-12-08,18196
2016-12-09,16930
2016-12-10,11849
2016-12-11,10872
2016-12-12,17504
2016-12-13,18436
2016-12-14,17270
2016-12-15,16864
2016-12-16,19776
2016-12-17,12054
2016-12-18,11391
2016-12-19,17896
2016-12-20,17534
2016-12-21,19353
2016-12-22,19114
2016-12-23,16937
2016-12-24,11778
2016-12-25,10936
2016-12-26,16918
2016-12-27,16117
2016-12-28,16976
2016-12-29,16672
2016-12-30,14261
2016-12-31,9204
