fdate,order_cnt
2018-01-01,53
2018-01-02,105
2018-01-03,85
2018-01-04,98
2018-01-05,123
2018-01-06,113
2018-01-07,99
2018-01-08,92
2018-01-09,124
2018-01-10,86
2018-01-11,126
2018-01-12,83
2018-01-13,94
2018-01-14,113
2018-01-15,120
2018-01-16,113
2018-01-17,90
2018-01-18,73
2018-01-19,101
2018-01-20,125
2018-01-21,146
2018-01-22,103
2018-01-23,113
2018-01-24,97
2018-01-25,150
2018-01-26,138
2018-01-27,156
2018-01-28,160
2018-01-29,130
2018-01-30,89
2018-01-31,87
2018-02-01,130
2018-02-02,122
2018-02-03,147
2018-02-04,161
2018-02-05,206
2018-02-06,129
2018-02-07,167
2018-02-08,170
2018-02-09,168
2018-02-10,179
2018-02-11,195
2018-02-12,191
2018-02-13,132
2018-02-14,168
2018-02-15,171
2018-02-16,180
2018-02-17,182
2018-02-18,186
2018-02-19,118
2018-02-20,140
2018-02-21,114
2018-02-22,81
2018-02-23,60
2018-02-24,86
2018-02-25,123
2018-02-26,93
2018-02-27,75
2018-02-28,102
2018-03-01,66
2018-03-02,60
2018-03-03,121
2018-03-04,107
2018-03-05,82
2018-03-06,61
2018-03-07,88
2018-03-08,77
2018-03-09,106
2018-03-10,120
2018-03-11,108
2018-03-12,77
2018-03-13,47
2018-03-14,53
2018-03-15,58
2018-03-16,83
2018-03-17,90
2018-03-18,131
2018-03-19,62
2018-03-20,91
2018-03-21,67
2018-03-22,60
2018-03-23,102
2018-03-24,113
2018-03-25,80
2018-03-26,88
2018-03-27,65
2018-03-28,64
2018-03-29,79
2018-03-30,123
2018-03-31,108
2018-04-01,109
2018-04-02,65
2018-04-03,88
2018-04-04,119
2018-04-05,77
2018-04-06,77
2018-04-07,95
2018-04-08,110
2018-04-09,112
2018-04-10,93
2018-04-11,61
2018-04-12,58
2018-04-13,94
2018-04-14,97
2018-04-15,91
2018-04-16,83
2018-04-17,66
2018-04-18,64
2018-04-19,80
2018-04-20,104
2018-04-21,131
2018-04-22,110
2018-04-23,75
2018-04-24,68
2018-04-25,95
2018-04-26,124
2018-04-27,119
2018-04-28,108
2018-04-29,154
2018-04-30,100
2018-05-01,55
2018-05-02,65
2018-05-03,97
2018-05-04,78
2018-05-05,89
2018-05-06,121
2018-05-07,73
2018-05-08,78
2018-05-09,79
2018-05-10,92
2018-05-11,77
2018-05-12,75
2018-05-13,76
2018-05-14,32
2018-05-15,48
2018-05-16,44
2018-05-17,56
2018-05-18,46
2018-05-19,46
2018-05-20,30
2018-05-21,25
2018-05-22,24
2018-05-23,16
2018-05-24,24
2018-05-25,44
2018-05-26,39
2018-05-27,11
2018-05-28,19
2018-05-29,25
2018-05-30,28
2018-05-31,25
2018-06-01,57
2018-06-02,43
2018-06-03,29
2018-06-04,20
2018-06-05,31
2018-06-06,36
2018-06-07,19
2018-06-08,50
2018-06-09,49
2018-06-10,32
2018-06-11,24
2018-06-12,50
2018-06-13,58
2018-06-14,81
2018-06-15,84
2018-06-16,56
2018-06-17,35
2018-06-18,47
2018-06-19,26
2018-06-20,30
2018-06-21,27
2018-06-22,80
2018-06-23,66
2018-06-24,48
2018-06-25,54
2018-06-26,78
2018-06-27,58
2018-06-28,79
2018-06-29,106
2018-06-30,92
2018-07-01,70
2018-07-02,51
2018-07-03,42
2018-07-04,42
2018-07-05,53
2018-07-06,34
2018-07-07,24
2018-07-08,15
2018-07-09,29
2018-07-10,40
2018-07-11,37
2018-07-12,36
2018-07-13,34
2018-07-14,18
2018-07-15,16
2018-07-16,25
2018-07-17,17
2018-07-18,30
2018-07-19,23
2018-07-20,23
2018-07-21,11
2018-07-22,13
2018-07-23,8
2018-07-24,12
2018-07-25,14
2018-07-26,19
2018-07-27,23
2018-07-28,5
2018-07-29,1
2018-07-30,12
2018-07-31,11
2018-08-01,28
2018-08-02,16
2018-08-03,18
2018-08-04,7
2018-08-05,18
2018-08-06,24
2018-08-07,21
2018-08-08,12
2018-08-09,8
2018-08-10,9
2018-08-11,14
2018-08-12,6
2018-08-13,17
2018-08-14,9
2018-08-15,13
2018-08-16,14
2018-08-17,13
2018-08-18,12
2018-08-19,7
2018-08-20,31
2018-08-21,19
2018-08-22,4
2018-08-23,7
2018-08-24,20
2018-08-25,18
2018-08-26,5
2018-08-27,16
2018-08-28,10
2018-08-29,13
2018-08-30,1
2018-08-31,8
2018-09-01,4
2018-09-02,6
2018-09-03,1
2018-09-04,1
2018-09-06,3
2018-09-07,2
2018-09-08,10
2018-09-09,1
2018-09-10,5
2018-09-11,3
2018-09-12,3
2018-09-13,2
2018-09-14,11
2018-09-15,13
2018-09-16,6
2018-09-17,3
2018-09-18,8
2018-09-19,17
2018-09-20,20
2018-09-21,23
2018-09-22,23
2018-09-23,12
2018-09-24,6
2018-09-25,12
2018-09-26,6
2018-09-27,7
2018-09-28,19
2018-09-29,12
2018-09-30,19
2018-10-01,27
2018-10-02,6
2018-10-03,5
2018-10-04,6
2018-10-05,5
2018-10-06,1
2018-10-09,1
2018-10-10,1
2018-10-12,3
2018-10-13,3
2018-10-22,1
2018-10-24,1
2018-10-29,1
2018-10-30,2
2018-10-31,1
2018-11-01,3
2018-11-02,1
2018-11-03,1
2018-11-07,1
2018-11-08,4
2018-11-10,1
2018-11-12,1
2018-11-13,4
2018-11-16,1
2018-11-21,1
2018-11-23,4
2018-12-14,1
2018-12-16,2
2018-12-20,2
2018-12-21,4
2018-12-22,3
